2026-07-30 22:03:55 | INFO    | pipeline.phase8_train |     EURUSD a2c: 325,000/500,000 (65%) -- 17.3m elapsed, ~9.3m remaining
2026-07-30 22:05:16 | INFO    | pipeline.phase8_train |     EURUSD a2c: 350,000/500,000 (70%) -- 18.6m elapsed, ~8.0m remaining
2026-07-30 22:06:36 | INFO    | pipeline.phase8_train |     EURUSD a2c: 375,000/500,000 (75%) -- 20.0m elapsed, ~6.7m remaining
2026-07-30 22:07:55 | INFO    | pipeline.phase8_train |     EURUSD a2c: 400,000/500,000 (80%) -- 21.3m elapsed, ~5.3m remaining
2026-07-30 22:09:11 | INFO    | pipeline.phase8_train |     EURUSD a2c: 425,000/500,000 (85%) -- 22.6m elapsed, ~4.0m remaining
2026-07-30 22:10:30 | INFO    | pipeline.phase8_train |     EURUSD a2c: 450,000/500,000 (90%) -- 23.9m elapsed, ~2.7m remaining
2026-07-30 22:11:50 | INFO    | pipeline.phase8_train |     EURUSD a2c: 475,000/500,000 (95%) -- 25.2m elapsed, ~1.3m remaining
2026-07-30 22:13:10 | INFO    | pipeline.phase8_train |     EURUSD a2c: 500,000/500,000 (100%) -- 26.6m elapsed, ~0.0m remaining
2026-07-30 22:13:16 | INFO    | pipeline.phase8_train |     EURUSD a2c: saved to D:\Projects\forex\data\trained_models\EURUSD\a2c\model.zip (1600.2s)
2026-07-30 22:13:16 | INFO    | pipeline.phase8_train | [Phase 8: Model Training] Completed in 68m 1.7s
2026-07-30 22:14:07 | INFO    | pipeline.phase8_train | [Phase 8: Model Training] Starting...
2026-07-30 22:14:07 | INFO    | pipeline.phase8_train |   Training USDJPY xgboost...
2026-07-30 22:14:09 | INFO    | pipeline.phase8_train |     USDJPY xgboost: accuracy=0.4045 (2.1s, stopped at round 18/200)
2026-07-30 22:14:09 | INFO    | pipeline.phase8_train |   Training USDJPY lightgbm...
2026-07-30 22:14:10 | INFO    | pipeline.phase8_train |     USDJPY lightgbm: accuracy=0.4061 (1.4s, stopped at round 10/200)
2026-07-30 22:14:10 | INFO    | pipeline.phase8_train |   Training USDJPY catboost...
2026-07-30 22:14:13 | INFO    | pipeline.phase8_train |     USDJPY catboost: accuracy=0.4017 (2.5s, stopped at round 29/200)
2026-07-30 22:14:13 | INFO    | pipeline.phase8_train |   Training USDJPY random_forest...
2026-07-30 22:14:24 | INFO    | pipeline.phase8_train |     USDJPY random_forest: accuracy=0.3706 (11.4s)
2026-07-30 22:14:25 | INFO    | pipeline.phase8_train |   Training USDJPY ppo RL (500000 timesteps)...
2026-07-30 22:14:25 | INFO    | pipeline.phase8_train |     USDJPY ppo: RL training started (500,000 timesteps)
2026-07-30 22:16:08 | INFO    | pipeline.phase8_train |     USDJPY ppo: 25,000/500,000 (5%) -- 1.7m elapsed, ~32.6m remaining
2026-07-30 22:17:51 | INFO    | pipeline.phase8_train |     USDJPY ppo: 50,000/500,000 (10%) -- 3.4m elapsed, ~30.9m remaining
2026-07-30 22:19:37 | INFO    | pipeline.phase8_train |     USDJPY ppo: 75,000/500,000 (15%) -- 5.2m elapsed, ~29.5m remaining
2026-07-30 22:21:21 | INFO    | pipeline.phase8_train |     USDJPY ppo: 100,000/500,000 (20%) -- 6.9m elapsed, ~27.8m remaining
2026-07-30 22:23:09 | INFO    | pipeline.phase8_train |     USDJPY ppo: 125,000/500,000 (25%) -- 8.7m elapsed, ~26.2m remaining
2026-07-30 22:24:50 | INFO    | pipeline.phase8_train |     USDJPY ppo: 150,000/500,000 (30%) -- 10.4m elapsed, ~24.3m remaining
2026-07-30 22:26:30 | INFO    | pipeline.phase8_train |     USDJPY ppo: 175,000/500,000 (35%) -- 12.1m elapsed, ~22.4m remaining
2026-07-30 22:28:11 | INFO    | pipeline.phase8_train |     USDJPY ppo: 200,000/500,000 (40%) -- 13.8m elapsed, ~20.6m remaining
2026-07-30 22:29:57 | INFO    | pipeline.phase8_train |     USDJPY ppo: 225,000/500,000 (45%) -- 15.5m elapsed, ~19.0m remaining
2026-07-30 22:31:39 | INFO    | pipeline.phase8_train |     USDJPY ppo: 250,000/500,000 (50%) -- 17.2m elapsed, ~17.2m remaining
2026-07-30 22:33:22 | INFO    | pipeline.phase8_train |     USDJPY ppo: 275,000/500,000 (55%) -- 18.9m elapsed, ~15.5m remaining
2026-07-30 22:35:07 | INFO    | pipeline.phase8_train |     USDJPY ppo: 300,000/500,000 (60%) -- 20.7m elapsed, ~13.8m remaining
2026-07-30 22:36:52 | INFO    | pipeline.phase8_train |     USDJPY ppo: 325,000/500,000 (65%) -- 22.5m elapsed, ~12.1m remaining
2026-07-30 22:38:37 | INFO    | pipeline.phase8_train |     USDJPY ppo: 350,000/500,000 (70%) -- 24.2m elapsed, ~10.4m remaining
2026-07-30 22:40:26 | INFO    | pipeline.phase8_train |     USDJPY ppo: 375,000/500,000 (75%) -- 26.0m elapsed, ~8.7m remaining
2026-07-30 22:42:12 | INFO    | pipeline.phase8_train |     USDJPY ppo: 400,000/500,000 (80%) -- 27.8m elapsed, ~6.9m remaining
2026-07-30 22:43:56 | INFO    | pipeline.phase8_train |     USDJPY ppo: 425,000/500,000 (85%) -- 29.5m elapsed, ~5.2m remaining
2026-07-30 22:45:43 | INFO    | pipeline.phase8_train |     USDJPY ppo: 450,000/500,000 (90%) -- 31.3m elapsed, ~3.5m remaining
2026-07-30 22:48:51 | INFO    | pipeline.phase8_train |     USDJPY ppo: 475,000/500,000 (95%) -- 34.4m elapsed, ~1.8m remaining
2026-07-30 22:51:58 | INFO    | pipeline.phase8_train |     USDJPY ppo: 500,000/500,000 (100%) -- 37.6m elapsed, ~0.0m remaining
2026-07-30 22:52:07 | INFO    | pipeline.phase8_train |     USDJPY ppo: saved to D:\Projects\forex\data\trained_models\USDJPY\ppo\model.zip (2262.2s)
2026-07-30 22:52:07 | INFO    | pipeline.phase8_train |   Training USDJPY a2c RL (500000 timesteps)...
2026-07-30 22:52:08 | INFO    | pipeline.phase8_train |     USDJPY a2c: RL training started (500,000 timesteps)
2026-07-30 22:53:23 | INFO    | pipeline.phase8_train |     USDJPY a2c: 25,000/500,000 (5%) -- 1.3m elapsed, ~24.0m remaining
2026-07-30 22:54:52 | INFO    | pipeline.phase8_train |     USDJPY a2c: 50,000/500,000 (10%) -- 2.7m elapsed, ~24.6m remaining
2026-07-30 22:56:16 | INFO    | pipeline.phase8_train |     USDJPY a2c: 75,000/500,000 (15%) -- 4.1m elapsed, ~23.4m remaining
2026-07-30 22:57:44 | INFO    | pipeline.phase8_train |     USDJPY a2c: 100,000/500,000 (20%) -- 5.6m elapsed, ~22.4m remaining
2026-07-30 22:58:56 | INFO    | pipeline.phase8_train |     USDJPY a2c: 125,000/500,000 (25%) -- 6.8m elapsed, ~20.4m remaining
2026-07-30 23:00:21 | INFO    | pipeline.phase8_train |     USDJPY a2c: 150,000/500,000 (30%) -- 8.2m elapsed, ~19.2m remaining
2026-07-30 23:01:42 | INFO    | pipeline.phase8_train |     USDJPY a2c: 175,000/500,000 (35%) -- 9.6m elapsed, ~17.8m remaining
2026-07-30 23:03:07 | INFO    | pipeline.phase8_train |     USDJPY a2c: 200,000/500,000 (40%) -- 11.0m elapsed, ~16.5m remaining
