datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 07:00:00+00:00,39.087,39.132,39.003,39.025,2525,13,0
2025-07-25 08:00:00+00:00,39.025,39.059,38.82,38.848,2893,13,0
2025-07-25 09:00:00+00:00,38.848,38.898,38.783,38.785,2147,13,0
2025-07-25 10:00:00+00:00,38.785,38.804,38.672,38.732,1992,13,0
2025-07-25 11:00:00+00:00,38.732,38.78,38.623,38.756,2718,15,0
2025-07-25 12:00:00+00:00,38.756,38.863,38.736,38.851,4052,15,0
2025-07-25 13:00:00+00:00,38.851,38.954,38.761,38.817,8686,15,0
2025-07-25 14:00:00+00:00,38.817,38.885,38.338,38.38,9266,15,0
2025-07-25 15:00:00+00:00,38.38,38.43,37.943,38.052,9945,15,0
2025-07-25 16:00:00+00:00,38.052,38.168,38.028,38.155,4928,12,0
2025-07-25 17:00:00+00:00,38.155,38.23,38.155,38.212,2497,12,0
2025-07-25 18:00:00+00:00,38.212,38.262,38.202,38.243,1786,12,0
2025-07-25 19:00:00+00:00,38.243,38.258,38.137,38.161,1560,12,0
2025-07-25 20:00:00+00:00,38.161,38.189,38.143,38.15,783,12,0
2025-07-27 22:00:00+00:00,37.853,38.175,37.846,38.081,2032,17,0
2025-07-27 23:00:00+00:00,38.081,38.202,38.074,38.173,1248,17,0
2025-07-28 00:00:00+00:00,38.173,38.237,38.143,38.23,2066,16,0
2025-07-28 01:00:00+00:00,38.23,38.303,38.178,38.183,4936,16,0
2025-07-28 02:00:00+00:00,38.183,38.296,38.175,38.274,2776,16,0
2025-07-28 03:00:00+00:00,38.274,38.281,38.167,38.233,2009,16,0
2025-07-28 04:00:00+00:00,38.233,38.263,38.177,38.185,1667,16,0
2025-07-28 05:00:00+00:00,38.185,38.311,38.18,38.284,2849,16,0
2025-07-28 06:00:00+00:00,38.284,38.326,38.24,38.291,3606,13,0
2025-07-28 07:00:00+00:00,38.291,38.327,38.201,38.238,3308,13,0
2025-07-28 08:00:00+00:00,38.238,38.286,38.15,38.209,2520,13,0
2025-07-28 09:00:00+00:00,38.209,38.225,38.117,38.166,2356,13,0
2025-07-28 10:00:00+00:00,38.166,38.173,38.097,38.106,2289,13,0
2025-07-28 11:00:00+00:00,38.106,38.152,38.083,38.122,2271,15,0
2025-07-28 12:00:00+00:00,38.126,38.164,37.995,38.102,4368,15,0
2025-07-28 13:00:00+00:00,38.102,38.17,37.894,37.914,7475,15,0
2025-07-28 14:00:00+00:00,37.914,38.149,37.898,38.083,7320,15,0
2025-07-28 15:00:00+00:00,38.082,38.17,38.06,38.144,3296,15,0
2025-07-28 16:00:00+00:00,38.144,38.164,38.109,38.124,1931,12,0
2025-07-28 17:00:00+00:00,38.124,38.144,38.03,38.05,1916,12,0
2025-07-28 18:00:00+00:00,38.05,38.177,38.02,38.128,1746,12,0
2025-07-28 19:00:00+00:00,38.128,38.162,38.103,38.133,1314,12,0
2025-07-28 20:00:00+00:00,38.133,38.176,38.131,38.147,845,12,0
2025-07-28 22:00:00+00:00,38.136,38.182,38.103,38.173,982,16,0
