datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 07:00:00+00:00,88.571,88.619,88.506,88.586,5503,43,0
2025-07-25 08:00:00+00:00,88.585,88.81,88.579,88.785,5810,43,0
2025-07-25 09:00:00+00:00,88.785,88.851,88.742,88.85,3633,43,0
2025-07-25 10:00:00+00:00,88.85,88.86,88.781,88.836,3290,43,0
2025-07-25 11:00:00+00:00,88.835,88.859,88.79,88.807,4065,43,0
2025-07-25 12:00:00+00:00,88.804,88.812,88.735,88.755,4228,17,0
2025-07-25 13:00:00+00:00,88.753,88.78,88.627,88.718,7995,43,0
2025-07-25 14:00:00+00:00,88.715,88.796,88.661,88.735,5686,18,0
2025-07-25 15:00:00+00:00,88.734,88.76,88.673,88.735,4913,43,0
2025-07-25 16:00:00+00:00,88.735,88.797,88.701,88.784,3736,43,0
2025-07-25 17:00:00+00:00,88.784,88.796,88.747,88.754,3375,43,0
2025-07-25 18:00:00+00:00,88.752,88.77,88.718,88.73,2812,43,0
2025-07-25 19:00:00+00:00,88.728,88.769,88.713,88.769,1726,43,0
2025-07-25 20:00:00+00:00,88.758,88.814,88.669,88.726,1840,43,0
2025-07-27 21:00:00+00:00,88.739,88.796,88.676,88.734,597,144,0
2025-07-27 22:00:00+00:00,88.756,88.953,88.756,88.953,1806,43,0
2025-07-27 23:00:00+00:00,88.954,89.001,88.919,88.923,1704,43,0
2025-07-28 00:00:00+00:00,88.924,89.018,88.911,88.948,5187,43,0
2025-07-28 01:00:00+00:00,88.949,88.994,88.866,88.897,4625,43,0
2025-07-28 02:00:00+00:00,88.898,89.047,88.864,88.978,3728,43,0
2025-07-28 03:00:00+00:00,88.977,88.993,88.795,88.817,2806,43,0
2025-07-28 04:00:00+00:00,88.818,88.818,88.744,88.787,2943,43,0
2025-07-28 05:00:00+00:00,88.787,88.839,88.755,88.816,3005,43,0
2025-07-28 06:00:00+00:00,88.823,88.88,88.784,88.786,5617,43,0
2025-07-28 07:00:00+00:00,88.789,88.792,88.546,88.558,6811,43,0
2025-07-28 08:00:00+00:00,88.558,88.625,88.5,88.586,5535,43,0
2025-07-28 09:00:00+00:00,88.585,88.66,88.552,88.66,4904,43,0
2025-07-28 10:00:00+00:00,88.659,88.739,88.613,88.688,4864,43,0
