timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol
2021-09-27 04:00:00+00:00,1.264,1.264,1.26114,1.2629299999999999,,,,,6079.0,0.0
2021-09-27 08:00:00+00:00,1.2629299999999999,1.26541,1.26104,1.26538,,,,,12816.0,0.0
2021-09-27 12:00:00+00:00,1.26539,1.26724,1.264,1.26581,,,,,14964.0,0.0
2021-09-27 16:00:00+00:00,1.26581,1.2667,1.26209,1.26224,,,,,19369.0,0.0
2021-09-27 20:00:00+00:00,1.26223,1.26302,1.2616,1.26273,,,,,6618.0,0.0
2021-09-28 00:00:00+00:00,1.2626,1.26385,1.26228,1.2633,,,,,2405.0,0.0
2021-09-28 04:00:00+00:00,1.2633,1.2635,1.26003,1.2600500000000001,,,,,4484.0,0.0
2021-09-28 08:00:00+00:00,1.26006,1.26517,1.25936,1.26343,,,,,12655.0,0.0
2021-09-28 12:00:00+00:00,1.26343,1.26804,1.26284,1.26698,,,,,18464.0,0.0
2021-09-28 16:00:00+00:00,1.26698,1.27075,1.26491,1.26952,,,,,31889.0,0.0
2021-09-28 20:00:00+00:00,1.26952,1.2702200000000001,1.26675,1.2684199999999999,,,,,16954.0,0.0
2021-09-29 00:00:00+00:00,1.26823,1.26884,1.2668300000000001,1.2681200000000001,,,,,4025.0,0.0
2021-09-29 04:00:00+00:00,1.26813,1.27,1.2674,1.26763,,,,,9155.0,0.0
2021-09-29 08:00:00+00:00,1.26764,1.27006,1.2669000000000001,1.26875,,,,,15983.0,0.0
2021-09-29 12:00:00+00:00,1.26875,1.27186,1.26745,1.27138,,,,,13260.0,0.0
2021-09-29 16:00:00+00:00,1.27138,1.27649,1.27028,1.27594,,,,,25443.0,0.0
2021-09-29 20:00:00+00:00,1.27594,1.27744,1.2742,1.27541,,,,,13500.0,0.0
2021-09-30 00:00:00+00:00,1.27542,1.2763200000000001,1.27412,1.27441,,,,,6020.0,0.0
2021-09-30 04:00:00+00:00,1.27446,1.27505,1.2732700000000001,1.2735400000000001,,,,,9560.0,0.0
2021-09-30 08:00:00+00:00,1.27356,1.27417,1.27104,1.27194,,,,,13173.0,0.0
2021-09-30 12:00:00+00:00,1.27194,1.27556,1.27177,1.27362,,,,,13996.0,0.0
2021-09-30 16:00:00+00:00,1.27362,1.2747,1.26299,1.26872,,,,,30940.0,0.0
2021-09-30 20:00:00+00:00,1.26872,1.27055,1.26475,1.26804,,,,,19007.0,0.0
2021-10-01 00:00:00+00:00,1.26767,1.27013,1.26738,1.27007,,,,,4571.0,0.0
2021-10-01 04:00:00+00:00,1.27007,1.2723900000000001,1.26962,1.27156,,,,,10722.0,0.0
2021-10-01 08:00:00+00:00,1.27155,1.27386,1.2699799999999999,1.27003,,,,,18334.0,0.0
2021-10-01 12:00:00+00:00,1.27002,1.27091,1.26525,1.2683900000000001,,,,,16772.0,0.0
2021-10-01 16:00:00+00:00,1.26833,1.26862,1.26443,1.26449,,,,,28133.0,0.0
2021-10-01 20:00:00+00:00,1.26449,1.26479,1.26278,1.26393,,,,,9662.0,0.0
2021-10-04 00:00:00+00:00,1.26444,1.26452,1.26132,1.2643,,,,,6406.0,0.0
2021-10-04 04:00:00+00:00,1.2643,1.26545,1.2618,1.26196,,,,,7659.0,0.0
2021-10-04 08:00:00+00:00,1.26197,1.26465,1.26149,1.26214,,,,,16807.0,0.0
2021-10-04 12:00:00+00:00,1.26211,1.26281,1.25929,1.2598500000000001,,,,,15064.0,0.0
2021-10-04 16:00:00+00:00,1.2598500000000001,1.26013,1.25574,1.25788,,,,,24502.0,0.0
2021-10-04 20:00:00+00:00,1.25792,1.259,1.25719,1.25881,,,,,15068.0,0.0
2021-10-05 00:00:00+00:00,1.25874,1.26044,1.25828,1.2604,,,,,4680.0,0.0
2021-10-05 04:00:00+00:00,1.2604,1.26233,1.26013,1.26192,,,,,8100.0,0.0
2021-10-05 08:00:00+00:00,1.2619099999999999,1.26301,1.25881,1.25929,,,,,12388.0,0.0
2021-10-05 12:00:00+00:00,1.2592400000000001,1.26057,1.25815,1.25921,,,,,11193.0,0.0
2021-10-05 16:00:00+00:00,1.25921,1.26022,1.25457,1.25758,,,,,18941.0,0.0
2021-10-05 20:00:00+00:00,1.25758,1.25852,1.25695,1.2579799999999999,,,,,8497.0,0.0
2021-10-06 00:00:00+00:00,1.2579099999999999,1.2591700000000001,1.2560799999999999,1.2585600000000001,,,,,4630.0,0.0
2021-10-06 04:00:00+00:00,1.2585600000000001,1.2613699999999999,1.25812,1.2604600000000001,,,,,10727.0,0.0
2021-10-06 08:00:00+00:00,1.2604600000000001,1.26463,1.25916,1.2635,,,,,16476.0,0.0
2021-10-06 12:00:00+00:00,1.2635100000000001,1.26478,1.26063,1.26234,,,,,15771.0,0.0
2021-10-06 16:00:00+00:00,1.26234,1.26452,1.26054,1.26176,,,,,22814.0,0.0
2021-10-06 20:00:00+00:00,1.26175,1.26175,1.25838,1.25885,,,,,13309.0,0.0
2021-10-07 00:00:00+00:00,1.25884,1.25929,1.25718,1.25803,,,,,5347.0,0.0
2021-10-07 04:00:00+00:00,1.2580200000000001,1.25916,1.2574,1.25878,,,,,7195.0,0.0
2021-10-07 08:00:00+00:00,1.25878,1.25993,1.25637,1.25882,,,,,12640.0,0.0
2021-10-07 12:00:00+00:00,1.2588300000000001,1.25905,1.25702,1.25782,,,,,10406.0,0.0
2021-10-07 16:00:00+00:00,1.25782,1.25942,1.25404,1.25575,,,,,15688.0,0.0
2021-10-07 20:00:00+00:00,1.25575,1.25643,1.25407,1.25502,,,,,9556.0,0.0
2021-10-08 00:00:00+00:00,1.25482,1.25624,1.25448,1.25449,,,,,4849.0,0.0
2021-10-08 04:00:00+00:00,1.25449,1.25584,1.25331,1.25572,,,,,6621.0,0.0
2021-10-08 08:00:00+00:00,1.25571,1.2559,1.2543,1.25458,,,,,11485.0,0.0
