timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol,weekday
2022-02-16 21:30:00+00:00,1.26793,1.2690299999999999,1.26755,1.26898,,,,,1733.0,0.0,2
2022-02-16 21:45:00+00:00,1.2689599999999999,1.26904,1.26763,1.26764,,,,,1377.0,0.0,2
2022-02-16 22:00:00+00:00,1.26763,1.2682,1.26732,1.2678,,,,,1308.0,0.0,2
2022-02-16 22:15:00+00:00,1.26779,1.26844,1.26729,1.26814,,,,,1664.0,0.0,2
2022-02-16 22:30:00+00:00,1.26813,1.26864,1.268,1.26841,,,,,1512.0,0.0,2
2022-02-16 22:45:00+00:00,1.26843,1.26884,1.2683,1.2684199999999999,,,,,1246.0,0.0,2
2022-02-16 23:00:00+00:00,1.26841,1.26883,1.26836,1.2687599999999999,,,,,649.0,0.0,2
2022-02-16 23:15:00+00:00,1.26878,1.26939,1.2687300000000001,1.26939,,,,,586.0,0.0,2
2022-02-16 23:30:00+00:00,1.26939,1.26945,1.2689599999999999,1.26912,,,,,354.0,0.0,2
2022-02-16 23:45:00+00:00,1.26911,1.26953,1.26871,1.26871,,,,,403.0,0.0,2
2022-02-17 00:00:00+00:00,1.26871,1.26887,1.26827,1.26872,,,,,65.0,0.0,3
2022-02-17 00:15:00+00:00,1.26872,1.26886,1.26865,1.26868,,,,,72.0,0.0,3
2022-02-17 00:30:00+00:00,1.2688,1.26887,1.26841,1.26879,,,,,70.0,0.0,3
2022-02-17 00:45:00+00:00,1.2687599999999999,1.2689300000000001,1.26868,1.2689300000000001,,,,,50.0,0.0,3
2022-02-17 01:00:00+00:00,1.2689300000000001,1.2690000000000001,1.26821,1.26821,,,,,285.0,0.0,3
2022-02-17 01:15:00+00:00,1.26821,1.26857,1.2679,1.2681,,,,,291.0,0.0,3
2022-02-17 01:30:00+00:00,1.2680799999999999,1.26917,1.26803,1.26916,,,,,466.0,0.0,3
2022-02-17 01:45:00+00:00,1.26916,1.26958,1.2690299999999999,1.26958,,,,,532.0,0.0,3
2022-02-17 02:00:00+00:00,1.26959,1.26971,1.2686899999999999,1.2687599999999999,,,,,616.0,0.0,3
2022-02-17 02:15:00+00:00,1.26875,1.26898,1.26847,1.26874,,,,,452.0,0.0,3
2022-02-17 02:30:00+00:00,1.26875,1.26895,1.26816,1.26856,,,,,431.0,0.0,3
2022-02-17 02:45:00+00:00,1.26857,1.26908,1.26857,1.26908,,,,,382.0,0.0,3
2022-02-17 03:00:00+00:00,1.26908,1.26983,1.26906,1.26972,,,,,724.0,0.0,3
2022-02-17 03:15:00+00:00,1.26973,1.2699,1.26926,1.26939,,,,,525.0,0.0,3
2022-02-17 03:30:00+00:00,1.2694,1.2699500000000001,1.26939,1.26958,,,,,591.0,0.0,3
2022-02-17 03:45:00+00:00,1.26958,1.26984,1.2693699999999999,1.26952,,,,,668.0,0.0,3
2022-02-17 04:00:00+00:00,1.26951,1.2697,1.26915,1.2692999999999999,,,,,564.0,0.0,3
2022-02-17 04:15:00+00:00,1.2692999999999999,1.26967,1.26922,1.2693699999999999,,,,,719.0,0.0,3
2022-02-17 04:30:00+00:00,1.26936,1.26946,1.26907,1.26928,,,,,530.0,0.0,3
2022-02-17 04:45:00+00:00,1.26928,1.2697,1.2692,1.26967,,,,,397.0,0.0,3
2022-02-17 05:00:00+00:00,1.26967,1.26981,1.26949,1.2695,,,,,388.0,0.0,3
2022-02-17 05:15:00+00:00,1.26951,1.2695400000000001,1.26931,1.26931,,,,,473.0,0.0,3
2022-02-17 05:30:00+00:00,1.26931,1.26939,1.26888,1.26899,,,,,406.0,0.0,3
2022-02-17 05:45:00+00:00,1.26899,1.27246,1.26898,1.27244,,,,,2035.0,0.0,3
2022-02-17 06:00:00+00:00,1.27244,1.27344,1.2699799999999999,1.27078,,,,,3684.0,0.0,3
2022-02-17 06:15:00+00:00,1.27078,1.27198,1.27078,1.27179,,,,,2391.0,0.0,3
2022-02-17 06:30:00+00:00,1.2717800000000001,1.27188,1.27114,1.2717800000000001,,,,,1122.0,0.0,3
2022-02-17 06:45:00+00:00,1.2717800000000001,1.27229,1.2716,1.27228,,,,,979.0,0.0,3
2022-02-17 07:00:00+00:00,1.27228,1.2723,1.27097,1.2713999999999999,,,,,1419.0,0.0,3
2022-02-17 07:15:00+00:00,1.2713999999999999,1.2714699999999999,1.27064,1.27115,,,,,809.0,0.0,3
2022-02-17 07:30:00+00:00,1.27115,1.27128,1.27044,1.2705,,,,,993.0,0.0,3
2022-02-17 07:45:00+00:00,1.2704900000000001,1.27111,1.27034,1.27034,,,,,626.0,0.0,3
2022-02-17 08:00:00+00:00,1.27034,1.27128,1.27034,1.27112,,,,,504.0,0.0,3
2022-02-17 08:15:00+00:00,1.27112,1.27164,1.26965,1.26974,,,,,908.0,0.0,3
