timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol,weekday
2022-02-17 08:00:00+00:00,0.92132,0.92244,0.92118,0.92235,,,,,2472.0,0.0,3
2022-02-17 09:00:00+00:00,0.92235,0.92291,0.92169,0.92209,,,,,2887.0,0.0,3
2022-02-17 10:00:00+00:00,0.92209,0.92229,0.92125,0.92195,,,,,6055.0,0.0,3
2022-02-17 11:00:00+00:00,0.92194,0.92261,0.92084,0.92138,,,,,4178.0,0.0,3
2022-02-17 12:00:00+00:00,0.92138,0.92215,0.92091,0.92094,,,,,2679.0,0.0,3
2022-02-17 13:00:00+00:00,0.92094,0.92109,0.92041,0.9208,,,,,2202.0,0.0,3
2022-02-17 14:00:00+00:00,0.92081,0.92106,0.92041,0.92059,,,,,2702.0,0.0,3
2022-02-17 15:00:00+00:00,0.92058,0.92123,0.91951,0.92007,,,,,4997.0,0.0,3
2022-02-17 16:00:00+00:00,0.92006,0.9211,0.91983,0.92018,,,,,5801.0,0.0,3
2022-02-17 17:00:00+00:00,0.92018,0.9212,0.91881,0.9201,,,,,5156.0,0.0,3
2022-02-17 18:00:00+00:00,0.9201,0.9205,0.91951,0.92028,,,,,2890.0,0.0,3
2022-02-17 19:00:00+00:00,0.92027,0.9205,0.9194,0.92037,,,,,2535.0,0.0,3
2022-02-17 20:00:00+00:00,0.92037,0.92055,0.91984,0.92001,,,,,2266.0,0.0,3
2022-02-17 21:00:00+00:00,0.92001,0.92029,0.91989,0.91999,,,,,1409.0,0.0,3
2022-02-17 22:00:00+00:00,0.91999,0.92057,0.91998,0.92018,,,,,1485.0,0.0,3
2022-02-17 23:00:00+00:00,0.92018,0.92047,0.92004,0.92047,,,,,587.0,0.0,3
2022-02-18 00:00:00+00:00,0.92016,0.92076,0.91922,0.9199,,,,,469.0,0.0,4
2022-02-18 01:00:00+00:00,0.9199,0.9201,0.91934,0.91977,,,,,604.0,0.0,4
2022-02-18 02:00:00+00:00,0.91981,0.92045,0.9197,0.92025,,,,,1058.0,0.0,4
2022-02-18 03:00:00+00:00,0.92025,0.92128,0.92025,0.92102,,,,,2123.0,0.0,4
2022-02-18 04:00:00+00:00,0.92103,0.92146,0.92063,0.92129,,,,,1321.0,0.0,4
2022-02-18 05:00:00+00:00,0.9213,0.92145,0.92097,0.92101,,,,,771.0,0.0,4
2022-02-18 06:00:00+00:00,0.92099,0.9214,0.92094,0.92127,,,,,586.0,0.0,4
2022-02-18 07:00:00+00:00,0.92127,0.92146,0.9211,0.92124,,,,,425.0,0.0,4
2022-02-18 08:00:00+00:00,0.92124,0.92161,0.92111,0.92124,,,,,877.0,0.0,4
2022-02-18 09:00:00+00:00,0.92124,0.92127,0.92032,0.92083,,,,,1693.0,0.0,4
2022-02-18 10:00:00+00:00,0.92084,0.9218,0.9204,0.92088,,,,,2959.0,0.0,4
2022-02-18 11:00:00+00:00,0.92087,0.92114,0.92035,0.92056,,,,,1729.0,0.0,4
2022-02-18 12:00:00+00:00,0.92056,0.9212,0.92041,0.92096,,,,,2474.0,0.0,4
2022-02-18 13:00:00+00:00,0.92102,0.9218,0.92057,0.92068,,,,,1706.0,0.0,4
2022-02-18 14:00:00+00:00,0.92068,0.92077,0.91969,0.92028,,,,,1885.0,0.0,4
2022-02-18 15:00:00+00:00,0.92026,0.92067,0.91962,0.92058,,,,,3613.0,0.0,4
2022-02-18 16:00:00+00:00,0.92058,0.92142,0.91997,0.92002,,,,,3749.0,0.0,4
2022-02-18 17:00:00+00:00,0.92002,0.92089,0.91917,0.92055,,,,,3901.0,0.0,4
2022-02-18 18:00:00+00:00,0.92055,0.92177,0.92051,0.92104,,,,,4146.0,0.0,4
2022-02-18 19:00:00+00:00,0.92104,0.92149,0.92066,0.92108,,,,,3196.0,0.0,4
2022-02-18 20:00:00+00:00,0.92108,0.92113,0.92069,0.92092,,,,,1684.0,0.0,4
2022-02-18 21:00:00+00:00,0.92092,0.9211,0.92068,0.92106,,,,,1393.0,0.0,4
2022-02-18 22:00:00+00:00,0.92106,0.92151,0.92099,0.92128,,,,,2091.0,0.0,4
2022-02-18 23:00:00+00:00,0.92128,0.92137,0.92097,0.92116,,,,,635.0,0.0,4
2022-02-21 00:00:00+00:00,0.91997,0.92208,0.91997,0.92123,,,,,578.0,0.0,0
2022-02-21 01:00:00+00:00,0.921,0.9216,0.9206,0.92087,,,,,884.0,0.0,0
2022-02-21 02:00:00+00:00,0.92087,0.9212,0.92019,0.92113,,,,,1016.0,0.0,0
2022-02-21 03:00:00+00:00,0.92112,0.9216,0.91988,0.92029,,,,,1702.0,0.0,0
2022-02-21 04:00:00+00:00,0.92028,0.92034,0.91974,0.92013,,,,,959.0,0.0,0
2022-02-21 05:00:00+00:00,0.92013,0.92014,0.91947,0.91998,,,,,710.0,0.0,0
2022-02-21 06:00:00+00:00,0.91999,0.92014,0.9198,0.91982,,,,,583.0,0.0,0
2022-02-21 07:00:00+00:00,0.91985,0.9201,0.91971,0.92009,,,,,468.0,0.0,0
2022-02-21 08:00:00+00:00,0.92009,0.92035,0.91973,0.92034,,,,,543.0,0.0,0
2022-02-21 09:00:00+00:00,0.92034,0.92049,0.91907,0.91911,,,,,1208.0,0.0,0
2022-02-21 10:00:00+00:00,0.91911,0.91967,0.91806,0.91962,,,,,2737.0,0.0,0
2022-02-21 11:00:00+00:00,0.91962,0.91973,0.91778,0.91786,,,,,2391.0,0.0,0
2022-02-21 12:00:00+00:00,0.91786,0.91794,0.91708,0.91726,,,,,1608.0,0.0,0
2022-02-21 13:00:00+00:00,0.91726,0.91744,0.91625,0.91669,,,,,1746.0,0.0,0
2022-02-21 14:00:00+00:00,0.91669,0.91761,0.9164,0.91646,,,,,2084.0,0.0,0
2022-02-21 15:00:00+00:00,0.91648,0.91736,0.91604,0.91703,,,,,2724.0,0.0,0
2022-02-21 16:00:00+00:00,0.91703,0.91746,0.91647,0.91659,,,,,2802.0,0.0,0
2022-02-21 17:00:00+00:00,0.91658,0.91677,0.91525,0.91539,,,,,2514.0,0.0,0
2022-02-21 18:00:00+00:00,0.91539,0.91577,0.91502,0.91511,,,,,1797.0,0.0,0
2022-02-21 19:00:00+00:00,0.91512,0.9157,0.91502,0.91543,,,,,1700.0,0.0,0
2022-02-21 20:00:00+00:00,0.91543,0.91625,0.91522,0.9159,,,,,1695.0,0.0,0
2022-02-21 21:00:00+00:00,0.9159,0.91631,0.91562,0.91595,,,,,1840.0,0.0,0
2022-02-21 22:00:00+00:00,0.91595,0.91655,0.91595,0.91649,,,,,1032.0,0.0,0
2022-02-21 23:00:00+00:00,0.91646,0.91647,0.91563,0.91576,,,,,610.0,0.0,0
2022-02-22 00:00:00+00:00,0.91569,0.91596,0.91519,0.91587,,,,,1398.0,0.0,1
2022-02-22 01:00:00+00:00,0.9158,0.91608,0.91541,0.91585,,,,,947.0,0.0,1
2022-02-22 02:00:00+00:00,0.91584,0.91652,0.91548,0.91645,,,,,1267.0,0.0,1
2022-02-22 03:00:00+00:00,0.91644,0.91694,0.9162,0.9166,,,,,1552.0,0.0,1
2022-02-22 04:00:00+00:00,0.9166,0.91673,0.91604,0.91613,,,,,748.0,0.0,1
2022-02-22 05:00:00+00:00,0.91617,0.91634,0.91569,0.91606,,,,,936.0,0.0,1
2022-02-22 06:00:00+00:00,0.91606,0.91646,0.91595,0.9162,,,,,819.0,0.0,1
2022-02-22 07:00:00+00:00,0.91619,0.91648,0.91588,0.91596,,,,,663.0,0.0,1
2022-02-22 08:00:00+00:00,0.91599,0.91647,0.91587,0.91614,,,,,1268.0,0.0,1
2022-02-22 09:00:00+00:00,0.91614,0.91721,0.91511,0.91721,,,,,3117.0,0.0,1
2022-02-22 10:00:00+00:00,0.91721,0.91814,0.91705,0.91787,,,,,4524.0,0.0,1
2022-02-22 11:00:00+00:00,0.91787,0.91898,0.91738,0.91859,,,,,3726.0,0.0,1
2022-02-22 12:00:00+00:00,0.91859,0.91919,0.91766,0.91872,,,,,4546.0,0.0,1
2022-02-22 13:00:00+00:00,0.91874,0.91963,0.91861,0.91903,,,,,3768.0,0.0,1
2022-02-22 14:00:00+00:00,0.91902,0.91912,0.91822,0.91834,,,,,3221.0,0.0,1
2022-02-22 15:00:00+00:00,0.91833,0.91981,0.9183,0.91977,,,,,3333.0,0.0,1
2022-02-22 16:00:00+00:00,0.91976,0.92098,0.91926,0.92044,,,,,3375.0,0.0,1
2022-02-22 17:00:00+00:00,0.92044,0.92277,0.92011,0.92127,,,,,4392.0,0.0,1
2022-02-22 18:00:00+00:00,0.9212,0.92132,0.92008,0.92043,,,,,3328.0,0.0,1
2022-02-22 19:00:00+00:00,0.92043,0.92096,0.92015,0.92081,,,,,2032.0,0.0,1
2022-02-22 20:00:00+00:00,0.92081,0.92143,0.92056,0.92118,,,,,1866.0,0.0,1
2022-02-22 21:00:00+00:00,0.92118,0.92169,0.9211,0.92128,,,,,3135.0,0.0,1
2022-02-22 22:00:00+00:00,0.92129,0.9218,0.92102,0.92167,,,,,1895.0,0.0,1
2022-02-22 23:00:00+00:00,0.92167,0.92188,0.92134,0.92134,,,,,689.0,0.0,1
2022-02-23 00:00:00+00:00,0.92123,0.92159,0.91987,0.92115,,,,,332.0,0.0,2
2022-02-23 01:00:00+00:00,0.92118,0.9216,0.92113,0.92151,,,,,421.0,0.0,2
2022-02-23 02:00:00+00:00,0.92151,0.92154,0.92086,0.92086,,,,,399.0,0.0,2
2022-02-23 03:00:00+00:00,0.92086,0.92116,0.92055,0.92082,,,,,529.0,0.0,2
2022-02-23 04:00:00+00:00,0.92078,0.92132,0.92062,0.92091,,,,,633.0,0.0,2
2022-02-23 05:00:00+00:00,0.92091,0.9211,0.92052,0.92058,,,,,493.0,0.0,2
2022-02-23 06:00:00+00:00,0.92059,0.92077,0.92042,0.92046,,,,,341.0,0.0,2
2022-02-23 07:00:00+00:00,0.92052,0.92082,0.9204,0.92051,,,,,484.0,0.0,2
2022-02-23 08:00:00+00:00,0.92052,0.92101,0.92046,0.92097,,,,,470.0,0.0,2
2022-02-23 09:00:00+00:00,0.92097,0.9218,0.92066,0.92111,,,,,1984.0,0.0,2
2022-02-23 10:00:00+00:00,0.92111,0.92177,0.92054,0.92169,,,,,2899.0,0.0,2
2022-02-23 11:00:00+00:00,0.9217,0.92188,0.91999,0.92016,,,,,2408.0,0.0,2
2022-02-23 12:00:00+00:00,0.92017,0.92053,0.91832,0.91881,,,,,2548.0,0.0,2
2022-02-23 13:00:00+00:00,0.91881,0.92008,0.9188,0.91965,,,,,2250.0,0.0,2
2022-02-23 14:00:00+00:00,0.91966,0.92016,0.9195,0.91985,,,,,2149.0,0.0,2
2022-02-23 15:00:00+00:00,0.91985,0.92014,0.91833,0.91847,,,,,2465.0,0.0,2
2022-02-23 16:00:00+00:00,0.91847,0.91848,0.91704,0.9177,,,,,2861.0,0.0,2
2022-02-23 17:00:00+00:00,0.91772,0.91795,0.91678,0.9172,,,,,3718.0,0.0,2
2022-02-23 18:00:00+00:00,0.9172,0.91815,0.91709,0.918,,,,,2658.0,0.0,2
2022-02-23 19:00:00+00:00,0.918,0.91844,0.91781,0.91806,,,,,1607.0,0.0,2
2022-02-23 20:00:00+00:00,0.91806,0.91834,0.91776,0.91805,,,,,990.0,0.0,2
2022-02-23 21:00:00+00:00,0.91805,0.91855,0.91794,0.91816,,,,,1304.0,0.0,2
2022-02-23 22:00:00+00:00,0.91816,0.91855,0.91799,0.91816,,,,,1147.0,0.0,2
