datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2024-02-16 12:00:00+00:00,150.174,150.302,150.136,150.286,159.315,159.317,19020,4,0
2024-02-16 16:00:00+00:00,150.285,150.646,150.143,150.52,159.315,159.317,21673,4,0
2024-02-16 20:00:00+00:00,150.518,150.634,150.111,150.221,159.315,159.317,28160,5,0
2024-02-17 00:00:00+00:00,150.22,150.284,150.08,150.176,159.315,159.317,11714,4,0
2024-02-19 04:00:00+00:00,150.08,150.189,149.871,149.97,159.315,159.317,11203,10,0
2024-02-19 08:00:00+00:00,149.971,150.036,149.908,150.004,159.315,159.317,9392,10,0
2024-02-19 12:00:00+00:00,150.005,150.028,149.892,149.938,159.315,159.317,14485,4,0
2024-02-19 16:00:00+00:00,149.937,150.031,149.926,149.966,159.315,159.317,13881,4,0
2024-02-19 20:00:00+00:00,149.966,150.19,149.95,150.185,159.315,159.317,11310,2,0
2024-02-20 00:00:00+00:00,150.184,150.184,150.105,150.109,159.315,159.317,2565,4,0
2024-02-20 04:00:00+00:00,150.108,150.342,150.064,150.268,159.315,159.317,12698,10,0
2024-02-20 08:00:00+00:00,150.268,150.434,150.264,150.418,159.315,159.317,12119,10,0
2024-02-20 12:00:00+00:00,150.418,150.436,150.251,150.275,159.315,159.317,19743,4,0
2024-02-20 16:00:00+00:00,150.274,150.295,149.929,149.984,159.315,159.317,24513,4,0
2024-02-20 20:00:00+00:00,149.984,150.039,149.681,149.893,159.315,159.317,22896,5,0
2024-02-21 00:00:00+00:00,149.894,150.067,149.879,149.996,159.315,159.317,12424,5,0
2024-02-21 04:00:00+00:00,149.994,150.089,149.882,149.989,159.315,159.317,11103,10,0
2024-02-21 08:00:00+00:00,149.989,150.036,149.849,149.98,159.315,159.317,10963,10,0
2024-02-21 12:00:00+00:00,149.981,150.188,149.944,150.088,159.315,159.317,19490,4,0
2024-02-21 16:00:00+00:00,150.089,150.103,149.931,150.078,159.315,159.317,18148,4,0
2024-02-21 20:00:00+00:00,150.078,150.385,149.988,150.304,159.315,159.317,20665,5,0
2024-02-22 00:00:00+00:00,150.304,150.39,150.127,150.289,159.315,159.317,16350,7,0
2024-02-22 04:00:00+00:00,150.302,150.458,150.243,150.31,159.315,159.317,12229,10,0
2024-02-22 08:00:00+00:00,150.31,150.448,150.22,150.28,159.315,159.317,12722,10,0
2024-02-22 12:00:00+00:00,150.28,150.292,150.015,150.175,159.315,159.317,23811,4,0
2024-02-22 16:00:00+00:00,150.176,150.596,150.12,150.564,159.315,159.317,21974,4,0
2024-02-22 20:00:00+00:00,150.564,150.686,150.401,150.602,159.315,159.317,28274,5,0
2024-02-23 00:00:00+00:00,150.603,150.648,150.476,150.52,159.315,159.317,14092,10,0
2024-02-23 04:00:00+00:00,150.524,150.556,150.369,150.453,159.315,159.317,9273,10,0
2024-02-23 08:00:00+00:00,150.454,150.602,150.418,150.602,159.315,159.317,7995,1,0
2024-02-23 12:00:00+00:00,150.602,150.762,150.523,150.746,159.315,159.317,17797,3,0
2024-02-23 16:00:00+00:00,150.747,150.768,150.332,150.474,159.315,159.317,20977,4,0
2024-02-23 20:00:00+00:00,150.475,150.554,150.292,150.406,159.315,159.317,23343,5,0
2024-02-24 00:00:00+00:00,150.405,150.544,150.341,150.504,159.315,159.317,10599,6,0
2024-02-26 04:00:00+00:00,150.493,150.563,150.239,150.42,159.315,159.317,11900,10,0
2024-02-26 08:00:00+00:00,150.42,150.515,150.361,150.432,159.315,159.317,12382,10,0
2024-02-26 12:00:00+00:00,150.431,150.669,150.362,150.636,159.315,159.317,18461,4,0
2024-02-26 16:00:00+00:00,150.637,150.697,150.525,150.644,159.315,159.317,18138,4,0
2024-02-26 20:00:00+00:00,150.644,150.835,150.621,150.766,159.315,159.317,22137,5,0
2024-02-27 00:00:00+00:00,150.764,150.813,150.663,150.676,159.315,159.317,13921,6,0
2024-02-27 04:00:00+00:00,150.683,150.704,150.487,150.504,159.315,159.317,9958,10,0
2024-02-27 08:00:00+00:00,150.505,150.522,150.403,150.515,159.315,159.317,8854,10,0
2024-02-27 12:00:00+00:00,150.514,150.535,150.115,150.265,159.315,159.317,17368,4,0
2024-02-27 16:00:00+00:00,150.265,150.377,150.074,150.273,159.315,159.317,20984,4,0
2024-02-27 20:00:00+00:00,150.273,150.548,150.256,150.419,159.315,159.317,21258,5,0
2024-02-28 00:00:00+00:00,150.42,150.579,150.295,150.486,159.315,159.317,10896,6,0
2024-02-28 04:00:00+00:00,150.502,150.531,150.37,150.394,159.315,159.317,9146,10,0
2024-02-28 08:00:00+00:00,150.393,150.637,150.369,150.596,159.315,159.317,11735,10,0
2024-02-28 12:00:00+00:00,150.595,150.798,150.575,150.744,159.315,159.317,17372,4,0
2024-02-28 16:00:00+00:00,150.743,150.747,150.527,150.711,159.315,159.317,19728,4,0
2024-02-28 20:00:00+00:00,150.71,150.843,150.647,150.694,159.315,159.317,21681,5,0
2024-02-29 00:00:00+00:00,150.695,150.736,150.638,150.679,159.315,159.317,12230,5,0
2024-02-29 04:00:00+00:00,150.684,150.692,150.187,150.211,159.315,159.317,11228,10,0
2024-02-29 08:00:00+00:00,150.211,150.224,149.689,149.901,159.315,159.317,20080,10,0
2024-02-29 12:00:00+00:00,149.903,149.933,149.609,149.805,159.315,159.317,26628,4,0
2024-02-29 16:00:00+00:00,149.805,150.151,149.73,149.779,159.315,159.317,26824,4,0
2024-02-29 20:00:00+00:00,149.78,150.041,149.205,149.988,159.315,159.317,30413,5,0
2024-03-01 00:00:00+00:00,149.989,150.012,149.834,149.955,159.315,159.317,12874,7,0
2024-03-01 04:00:00+00:00,149.968,150.366,149.903,150.351,159.315,159.317,12755,10,0
2024-03-01 08:00:00+00:00,150.348,150.474,150.297,150.442,159.315,159.317,12794,10,0
2024-03-01 12:00:00+00:00,150.441,150.684,150.326,150.626,159.315,159.317,19951,4,0
2024-03-01 16:00:00+00:00,150.624,150.658,150.305,150.64,159.315,159.317,23136,4,0
2024-03-01 20:00:00+00:00,150.642,150.721,150.071,150.147,159.315,159.317,31375,5,0
2024-03-02 00:00:00+00:00,150.146,150.241,150.049,150.062,159.315,159.317,12781,6,0
2024-03-04 04:00:00+00:00,149.985,150.205,149.836,150.125,159.315,159.317,11125,10,0
2024-03-04 08:00:00+00:00,150.125,150.319,150.096,150.298,159.315,159.317,10185,10,0
2024-03-04 12:00:00+00:00,150.298,150.398,150.172,150.245,159.315,159.317,22017,4,0
2024-03-04 16:00:00+00:00,150.244,150.568,150.243,150.459,159.315,159.317,20958,4,0
2024-03-04 20:00:00+00:00,150.458,150.551,150.308,150.519,159.315,159.317,20922,5,0
2024-03-05 00:00:00+00:00,150.518,150.559,150.481,150.502,159.315,159.317,9264,5,0
2024-03-05 04:00:00+00:00,150.523,150.54,150.348,150.462,159.315,159.317,10702,10,0
2024-03-05 08:00:00+00:00,150.461,150.541,150.438,150.494,159.315,159.317,11669,4,0
2024-03-05 12:00:00+00:00,150.494,150.541,150.341,150.414,159.315,159.317,17544,4,0
2024-03-05 16:00:00+00:00,150.413,150.441,150.06,150.086,159.315,159.317,19188,4,0
2024-03-05 20:00:00+00:00,150.085,150.227,149.702,150.089,159.315,159.317,30980,5,0
2024-03-06 00:00:00+00:00,150.088,150.109,149.835,150.049,159.315,159.317,15138,3,0
2024-03-06 04:00:00+00:00,150.046,150.081,149.81,150.027,159.315,159.317,10282,10,0
2024-03-06 08:00:00+00:00,150.027,150.028,149.804,149.909,159.315,159.317,10150,10,0
2024-03-06 12:00:00+00:00,149.909,149.934,149.322,149.644,159.315,159.317,24037,1,0
2024-03-06 16:00:00+00:00,149.643,149.81,149.332,149.366,159.315,159.317,22629,4,0
2024-03-06 20:00:00+00:00,149.367,149.643,149.09,149.322,159.315,159.317,31543,5,0
2024-03-07 00:00:00+00:00,149.321,149.467,149.195,149.366,159.315,159.317,15430,4,0
2024-03-07 04:00:00+00:00,149.367,149.387,148.556,148.614,159.315,159.317,18640,10,0
2024-03-07 08:00:00+00:00,148.615,148.791,148.399,148.633,159.315,159.317,20777,10,0
2024-03-07 12:00:00+00:00,148.633,148.677,147.809,147.984,159.315,159.317,28192,4,0
2024-03-07 16:00:00+00:00,147.984,147.995,147.578,147.766,159.315,159.317,27465,4,0
2024-03-07 20:00:00+00:00,147.767,148.298,147.73,148.102,159.315,159.317,35357,5,0
2024-03-08 00:00:00+00:00,148.104,148.13,147.988,148.022,159.315,159.317,14292,4,0
2024-03-08 04:00:00+00:00,148.04,148.114,147.518,147.969,159.315,159.317,15587,10,0
2024-03-08 08:00:00+00:00,147.969,148.085,147.771,147.8,159.315,159.317,15696,10,0
2024-03-08 12:00:00+00:00,147.797,148.042,146.87,147.132,159.315,159.317,26122,4,0
2024-03-08 16:00:00+00:00,147.132,147.503,146.48,146.96,159.315,159.317,27574,4,0
2024-03-08 20:00:00+00:00,146.96,147.257,146.692,147.023,159.315,159.317,37357,5,0
2024-03-09 00:00:00+00:00,147.023,147.156,146.987,147.05,159.315,159.317,15586,7,0
2024-03-11 04:00:00+00:00,147.03,147.116,146.532,146.872,159.315,159.317,16987,7,0
2024-03-11 08:00:00+00:00,146.873,147.087,146.86,146.971,159.315,159.317,12588,10,0
2024-03-11 12:00:00+00:00,146.972,147.063,146.483,146.612,159.315,159.317,23784,4,0
2024-03-11 16:00:00+00:00,146.611,146.97,146.531,146.964,159.315,159.317,22618,4,0
2024-03-11 20:00:00+00:00,146.966,147.147,146.739,146.917,159.315,159.317,21254,5,0
2024-03-12 00:00:00+00:00,146.916,147.05,146.755,146.953,159.315,159.317,8646,4,0
2024-03-12 04:00:00+00:00,146.952,146.99,146.615,146.933,159.315,159.317,14108,6,0
2024-03-12 08:00:00+00:00,146.932,147.593,146.928,147.516,159.315,159.317,17668,10,0
2024-03-12 12:00:00+00:00,147.516,147.575,147.209,147.421,159.315,159.317,20710,0,0
2024-03-12 16:00:00+00:00,147.422,148.175,147.066,147.804,159.315,159.317,17736,0,0
2024-03-12 20:00:00+00:00,147.801,147.965,147.643,147.785,159.315,159.317,13737,0,0
2024-03-13 00:00:00+00:00,147.786,147.794,147.595,147.607,159.315,159.317,5576,0,0
2024-03-13 04:00:00+00:00,147.623,147.648,147.232,147.42,159.315,159.317,8464,0,0
2024-03-13 08:00:00+00:00,147.42,147.643,147.281,147.568,159.315,159.317,7608,0,0
2024-03-13 12:00:00+00:00,147.569,148.043,147.498,147.988,159.315,159.317,13757,0,0
2024-03-13 16:00:00+00:00,147.988,148.033,147.777,147.891,159.315,159.317,14715,0,0
2024-03-13 20:00:00+00:00,147.89,147.967,147.459,147.629,159.315,159.317,15172,0,0
2024-03-14 00:00:00+00:00,147.629,147.855,147.605,147.623,159.315,159.317,6173,0,0
2024-03-14 04:00:00+00:00,147.622,147.722,147.528,147.674,159.315,159.317,7312,0,0
2024-03-14 08:00:00+00:00,147.674,147.97,147.662,147.918,159.315,159.317,6528,0,0
