datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2024-07-22 04:00:00+00:00,157.43,157.43,157.269,157.376,159.295,159.295,59,40,0
2024-07-22 04:15:00+00:00,157.376,157.42,157.376,157.42,159.295,159.295,29,49,0
2024-07-22 04:30:00+00:00,157.42,157.463,157.416,157.444,159.295,159.295,53,16,0
2024-07-22 04:45:00+00:00,157.443,157.445,157.399,157.405,159.295,159.295,88,49,0
2024-07-22 05:00:00+00:00,157.398,157.504,157.375,157.375,159.295,159.295,172,0,0
2024-07-22 05:15:00+00:00,157.369,157.379,157.343,157.371,159.295,159.295,334,6,0
2024-07-22 05:30:00+00:00,157.371,157.383,157.295,157.296,159.295,159.295,216,0,0
2024-07-22 05:45:00+00:00,157.296,157.307,157.23,157.269,159.295,159.295,187,5,0
2024-07-22 06:00:00+00:00,157.267,157.278,157.181,157.206,159.295,159.295,426,3,0
2024-07-22 06:15:00+00:00,157.206,157.276,157.2,157.221,159.295,159.295,302,1,0
2024-07-22 06:30:00+00:00,157.221,157.252,157.157,157.25,159.295,159.295,343,1,0
2024-07-22 06:45:00+00:00,157.254,157.43,157.254,157.426,159.295,159.295,552,0,0
2024-07-22 07:00:00+00:00,157.427,157.462,157.337,157.371,159.295,159.295,689,0,0
2024-07-22 07:15:00+00:00,157.371,157.428,157.333,157.423,159.295,159.295,449,1,0
2024-07-22 07:30:00+00:00,157.425,157.493,157.407,157.462,159.295,159.295,427,1,0
2024-07-22 07:45:00+00:00,157.46,157.481,157.403,157.426,159.295,159.295,577,1,0
2024-07-22 08:00:00+00:00,157.426,157.525,157.38,157.466,159.295,159.295,521,1,0
2024-07-22 08:15:00+00:00,157.465,157.475,157.349,157.465,159.295,159.295,438,0,0
2024-07-22 08:30:00+00:00,157.462,157.471,157.428,157.443,159.295,159.295,434,1,0
2024-07-22 08:45:00+00:00,157.441,157.552,157.435,157.543,159.295,159.295,460,0,0
2024-07-22 09:00:00+00:00,157.551,157.611,157.527,157.58,159.295,159.295,502,1,0
2024-07-22 09:15:00+00:00,157.576,157.613,157.531,157.544,159.295,159.295,466,1,0
2024-07-22 09:30:00+00:00,157.547,157.607,157.529,157.557,159.295,159.295,389,1,0
2024-07-22 09:45:00+00:00,157.557,157.576,157.53,157.55,159.295,159.295,340,1,0
2024-07-22 10:00:00+00:00,157.551,157.559,157.498,157.515,159.295,159.295,353,0,0
2024-07-22 10:15:00+00:00,157.515,157.566,157.505,157.561,159.295,159.295,267,0,0
2024-07-22 10:30:00+00:00,157.56,157.566,157.516,157.516,159.295,159.295,224,0,0
2024-07-22 10:45:00+00:00,157.517,157.525,157.462,157.48,159.295,159.295,238,0,0
2024-07-22 11:00:00+00:00,157.48,157.48,157.394,157.43,159.295,159.295,497,1,0
2024-07-22 11:15:00+00:00,157.427,157.493,157.412,157.426,159.295,159.295,456,1,0
2024-07-22 11:30:00+00:00,157.431,157.513,157.426,157.47,159.295,159.295,340,1,0
2024-07-22 11:45:00+00:00,157.47,157.484,157.432,157.444,159.295,159.295,281,0,0
2024-07-22 12:00:00+00:00,157.443,157.443,157.268,157.319,159.295,159.295,374,0,0
2024-07-22 12:15:00+00:00,157.318,157.324,157.01,157.089,159.295,159.295,696,0,0
2024-07-22 12:30:00+00:00,157.088,157.197,157.062,157.127,159.295,159.295,665,1,0
2024-07-22 12:45:00+00:00,157.127,157.155,157.037,157.038,159.295,159.295,563,0,0
2024-07-22 13:00:00+00:00,157.034,157.06,156.477,156.675,159.295,159.295,1261,0,0
2024-07-22 13:15:00+00:00,156.674,156.768,156.486,156.579,159.295,159.295,1047,0,0
