timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol
2021-09-27 08:00:00+00:00,110.552,110.947,110.55,110.913,,,,,10835.0,0.0
2021-09-27 12:00:00+00:00,110.913,111.066,110.813,110.869,,,,,14549.0,0.0
2021-09-27 16:00:00+00:00,110.87,111.019,110.78,110.997,,,,,12927.0,0.0
2021-09-27 20:00:00+00:00,110.997,111.031,110.951,111.007,,,,,5196.0,0.0
2021-09-28 00:00:00+00:00,110.973,111.039,110.934,111.032,,,,,8836.0,0.0
2021-09-28 04:00:00+00:00,111.033,111.24,111.004,111.155,,,,,4372.0,0.0
2021-09-28 08:00:00+00:00,111.155,111.424,111.119,111.286,,,,,11398.0,0.0
2021-09-28 12:00:00+00:00,111.287,111.639,111.244,111.555,,,,,15026.0,0.0
2021-09-28 16:00:00+00:00,111.555,111.628,111.233,111.42,,,,,23781.0,0.0
2021-09-28 20:00:00+00:00,111.42,111.62,111.416,111.496,,,,,7945.0,0.0
2021-09-29 00:00:00+00:00,111.496,111.679,111.446,111.647,,,,,9682.0,0.0
2021-09-29 04:00:00+00:00,111.648,111.682,111.341,111.498,,,,,9570.0,0.0
2021-09-29 08:00:00+00:00,111.498,111.565,111.207,111.323,,,,,17522.0,0.0
2021-09-29 12:00:00+00:00,111.324,111.586,111.24,111.577,,,,,13294.0,0.0
2021-09-29 16:00:00+00:00,111.577,111.949,111.5,111.947,,,,,15613.0,0.0
2021-09-29 20:00:00+00:00,111.947,112.048,111.926,111.965,,,,,6940.0,0.0
2021-09-30 00:00:00+00:00,111.958,111.997,111.854,111.883,,,,,7656.0,0.0
2021-09-30 04:00:00+00:00,111.883,111.986,111.796,111.932,,,,,6808.0,0.0
2021-09-30 08:00:00+00:00,111.931,112.061,111.815,111.949,,,,,11941.0,0.0
2021-09-30 12:00:00+00:00,111.949,112.081,111.861,111.877,,,,,12724.0,0.0
2021-09-30 16:00:00+00:00,111.876,111.967,111.411,111.434,,,,,24363.0,0.0
2021-09-30 20:00:00+00:00,111.434,111.484,111.237,111.293,,,,,7544.0,0.0
2021-10-01 00:00:00+00:00,111.242,111.488,111.227,111.396,,,,,6115.0,0.0
2021-10-01 04:00:00+00:00,111.395,111.417,111.116,111.173,,,,,10364.0,0.0
2021-10-01 08:00:00+00:00,111.173,111.297,111.049,111.11,,,,,16282.0,0.0
2021-10-01 12:00:00+00:00,111.11,111.26,110.963,110.989,,,,,16464.0,0.0
2021-10-01 16:00:00+00:00,110.989,111.138,110.905,110.999,,,,,22759.0,0.0
2021-10-01 20:00:00+00:00,110.999,111.121,110.985,111.066,,,,,4170.0,0.0
2021-10-04 00:00:00+00:00,111.055,111.055,110.883,110.95,,,,,7368.0,0.0
2021-10-04 04:00:00+00:00,110.95,111.115,110.926,111.045,,,,,9435.0,0.0
2021-10-04 08:00:00+00:00,111.044,111.247,110.965,111.205,,,,,13573.0,0.0
2021-10-04 12:00:00+00:00,111.205,111.303,110.91,111.067,,,,,11433.0,0.0
2021-10-04 16:00:00+00:00,111.067,111.233,110.821,110.868,,,,,20421.0,0.0
2021-10-04 20:00:00+00:00,110.868,110.999,110.848,110.921,,,,,5886.0,0.0
2021-10-05 00:00:00+00:00,110.912,110.997,110.864,110.93,,,,,8208.0,0.0
2021-10-05 04:00:00+00:00,110.929,111.203,110.925,111.19,,,,,9385.0,0.0
2021-10-05 08:00:00+00:00,111.189,111.258,111.074,111.168,,,,,13577.0,0.0
2021-10-05 12:00:00+00:00,111.168,111.316,111.115,111.266,,,,,10135.0,0.0
2021-10-05 16:00:00+00:00,111.266,111.563,111.237,111.455,,,,,15380.0,0.0
2021-10-05 20:00:00+00:00,111.455,111.522,111.409,111.463,,,,,3994.0,0.0
2021-10-06 00:00:00+00:00,111.456,111.639,111.415,111.637,,,,,7789.0,0.0
2021-10-06 04:00:00+00:00,111.637,111.768,111.545,111.758,,,,,8343.0,0.0
2021-10-06 08:00:00+00:00,111.758,111.788,111.484,111.577,,,,,16135.0,0.0
2021-10-06 12:00:00+00:00,111.576,111.59,111.277,111.347,,,,,17210.0,0.0
2021-10-06 16:00:00+00:00,111.347,111.432,111.202,111.387,,,,,16766.0,0.0
2021-10-06 20:00:00+00:00,111.387,111.494,111.347,111.405,,,,,5624.0,0.0
2021-10-07 00:00:00+00:00,111.382,111.44,111.311,111.38,,,,,6861.0,0.0
2021-10-07 04:00:00+00:00,111.38,111.508,111.365,111.415,,,,,5579.0,0.0
2021-10-07 08:00:00+00:00,111.416,111.512,111.23,111.415,,,,,11853.0,0.0
2021-10-07 12:00:00+00:00,111.415,111.529,111.286,111.453,,,,,11336.0,0.0
2021-10-07 16:00:00+00:00,111.452,111.625,111.383,111.623,,,,,13530.0,0.0
2021-10-07 20:00:00+00:00,111.624,111.65,111.559,111.621,,,,,4187.0,0.0
2021-10-08 00:00:00+00:00,111.606,111.757,111.572,111.717,,,,,6187.0,0.0
2021-10-08 04:00:00+00:00,111.717,111.928,111.714,111.926,,,,,6914.0,0.0
2021-10-08 08:00:00+00:00,111.925,111.998,111.865,111.96,,,,,10117.0,0.0
2021-10-08 12:00:00+00:00,111.96,111.96,111.509,111.595,,,,,16333.0,0.0
2021-10-08 16:00:00+00:00,111.596,112.214,111.55,112.197,,,,,19207.0,0.0
2021-10-08 20:00:00+00:00,112.197,112.249,112.133,112.225,,,,,4025.0,0.0
2021-10-11 00:00:00+00:00,112.103,112.325,112.103,112.299,,,,,5605.0,0.0
2021-10-11 04:00:00+00:00,112.299,112.724,112.295,112.678,,,,,7736.0,0.0
2021-10-11 08:00:00+00:00,112.678,112.953,112.639,112.911,,,,,11272.0,0.0
2021-10-11 12:00:00+00:00,112.91,113.24,112.871,113.19,,,,,10031.0,0.0
2021-10-11 16:00:00+00:00,113.191,113.413,113.049,113.406,,,,,9553.0,0.0
2021-10-11 20:00:00+00:00,113.402,113.402,113.274,113.307,,,,,5439.0,0.0
2021-10-12 00:00:00+00:00,113.287,113.485,113.165,113.451,,,,,9215.0,0.0
2021-10-12 04:00:00+00:00,113.451,113.487,113.207,113.34,,,,,8019.0,0.0
2021-10-12 08:00:00+00:00,113.34,113.428,113.002,113.374,,,,,14016.0,0.0
2021-10-12 12:00:00+00:00,113.374,113.787,113.233,113.661,,,,,12473.0,0.0
2021-10-12 16:00:00+00:00,113.662,113.726,113.453,113.641,,,,,19046.0,0.0
2021-10-12 20:00:00+00:00,113.641,113.684,113.559,113.606,,,,,5893.0,0.0
2021-10-13 00:00:00+00:00,113.582,113.615,113.438,113.438,,,,,8801.0,0.0
2021-10-13 04:00:00+00:00,113.438,113.492,113.346,113.465,,,,,7243.0,0.0
2021-10-13 08:00:00+00:00,113.465,113.61,113.401,113.555,,,,,10043.0,0.0
2021-10-13 12:00:00+00:00,113.555,113.804,113.507,113.662,,,,,13241.0,0.0
2021-10-13 16:00:00+00:00,113.663,113.721,113.226,113.45,,,,,19558.0,0.0
2021-10-13 20:00:00+00:00,113.45,113.488,113.243,113.245,,,,,6295.0,0.0
2021-10-14 00:00:00+00:00,113.243,113.391,113.208,113.367,,,,,6764.0,0.0
