datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2024-02-16 12:00:00+00:00,0.60945,0.61106,0.60922,0.61087,0.59096,0.59097,8646,2,0
2024-02-16 16:00:00+00:00,0.61088,0.61143,0.60859,0.60969,0.59096,0.59097,10084,1,0
2024-02-16 20:00:00+00:00,0.6097,0.61277,0.60894,0.61277,0.59096,0.59097,14193,6,0
2024-02-17 00:00:00+00:00,0.61276,0.61354,0.61221,0.61228,0.59096,0.59097,5434,4,0
2024-02-19 04:00:00+00:00,0.61173,0.61444,0.61144,0.61337,0.59096,0.59097,7166,8,0
2024-02-19 08:00:00+00:00,0.61337,0.61416,0.61318,0.614,0.59096,0.59097,5988,2,0
2024-02-19 12:00:00+00:00,0.61401,0.6152,0.61376,0.61452,0.59096,0.59097,9116,2,0
2024-02-19 16:00:00+00:00,0.61453,0.61483,0.61366,0.61468,0.59096,0.59097,7142,0,0
2024-02-19 20:00:00+00:00,0.61467,0.61469,0.61405,0.61448,0.59096,0.59097,5137,0,0
2024-02-20 00:00:00+00:00,0.61447,0.61512,0.61438,0.61487,0.59096,0.59097,1750,0,0
2024-02-20 04:00:00+00:00,0.61488,0.615,0.61313,0.61362,0.59096,0.59097,6942,4,0
2024-02-20 08:00:00+00:00,0.61361,0.61406,0.61287,0.61374,0.59096,0.59097,6232,2,0
2024-02-20 12:00:00+00:00,0.61371,0.61647,0.6135,0.61646,0.59096,0.59097,8838,2,0
2024-02-20 16:00:00+00:00,0.61645,0.61881,0.616,0.61865,0.59096,0.59097,11710,2,0
2024-02-20 20:00:00+00:00,0.61865,0.61908,0.61697,0.61727,0.59096,0.59097,13777,3,0
2024-02-21 00:00:00+00:00,0.61727,0.61734,0.61606,0.61631,0.59096,0.59097,5364,2,0
2024-02-21 04:00:00+00:00,0.61633,0.61768,0.61521,0.61765,0.59096,0.59097,5493,7,0
2024-02-21 08:00:00+00:00,0.61765,0.61975,0.61764,0.61907,0.59096,0.59097,6684,7,0
2024-02-21 12:00:00+00:00,0.61906,0.61942,0.61802,0.61833,0.59096,0.59097,9715,4,0
2024-02-21 16:00:00+00:00,0.61832,0.61896,0.61766,0.61815,0.59096,0.59097,8482,1,0
2024-02-21 20:00:00+00:00,0.61815,0.61858,0.61658,0.61684,0.59096,0.59097,11174,6,0
2024-02-22 00:00:00+00:00,0.61683,0.61808,0.61618,0.61795,0.59096,0.59097,8500,0,0
2024-02-22 04:00:00+00:00,0.61783,0.6198,0.6172,0.61865,0.59096,0.59097,6283,6,0
2024-02-22 08:00:00+00:00,0.61865,0.61982,0.61763,0.6195,0.59096,0.59097,6705,5,0
2024-02-22 12:00:00+00:00,0.6195,0.62177,0.61948,0.62063,0.59096,0.59097,13217,6,0
2024-02-22 16:00:00+00:00,0.62062,0.62124,0.61825,0.61836,0.59096,0.59097,10622,2,0
2024-02-22 20:00:00+00:00,0.61836,0.61957,0.6178,0.61933,0.59096,0.59097,14474,1,0
2024-02-23 00:00:00+00:00,0.61934,0.62028,0.61881,0.61938,0.59096,0.59097,5343,1,0
2024-02-23 04:00:00+00:00,0.61929,0.62021,0.61855,0.61965,0.59096,0.59097,6476,8,0
2024-02-23 08:00:00+00:00,0.61966,0.62036,0.61931,0.61992,0.59096,0.59097,4437,2,0
2024-02-23 12:00:00+00:00,0.61993,0.62053,0.61803,0.61824,0.59096,0.59097,8466,0,0
2024-02-23 16:00:00+00:00,0.61823,0.62108,0.61823,0.62007,0.59096,0.59097,8889,1,0
2024-02-23 20:00:00+00:00,0.62006,0.62024,0.61854,0.6196,0.59096,0.59097,12127,6,0
2024-02-24 00:00:00+00:00,0.61961,0.6199,0.61897,0.61964,0.59096,0.59097,4387,2,0
2024-02-26 04:00:00+00:00,0.6198,0.6198,0.61626,0.61669,0.59096,0.59097,7397,6,0
2024-02-26 08:00:00+00:00,0.61669,0.61711,0.61651,0.61664,0.59096,0.59097,5922,0,0
2024-02-26 12:00:00+00:00,0.61664,0.6173,0.61622,0.61699,0.59096,0.59097,8591,3,0
2024-02-26 16:00:00+00:00,0.617,0.6185,0.617,0.61821,0.59096,0.59097,8429,1,0
2024-02-26 20:00:00+00:00,0.61821,0.61826,0.61644,0.6172,0.59096,0.59097,9621,1,0
2024-02-27 00:00:00+00:00,0.61722,0.61774,0.61688,0.6169,0.59096,0.59097,5221,4,0
2024-02-27 04:00:00+00:00,0.61706,0.61736,0.61547,0.61603,0.59096,0.59097,5695,4,0
2024-02-27 08:00:00+00:00,0.61604,0.61662,0.61508,0.61633,0.59096,0.59097,5832,0,0
2024-02-27 12:00:00+00:00,0.61634,0.61751,0.61619,0.61664,0.59096,0.59097,8103,0,0
2024-02-27 16:00:00+00:00,0.61663,0.61752,0.61594,0.61666,0.59096,0.59097,8394,2,0
2024-02-27 20:00:00+00:00,0.61665,0.6176,0.61568,0.61703,0.59096,0.59097,12203,1,0
2024-02-28 00:00:00+00:00,0.61703,0.61776,0.61658,0.61699,0.59096,0.59097,5219,1,0
2024-02-28 04:00:00+00:00,0.61698,0.61774,0.61181,0.61222,0.59096,0.59097,8410,4,0
2024-02-28 08:00:00+00:00,0.61221,0.61236,0.61026,0.61133,0.59096,0.59097,8762,0,0
2024-02-28 12:00:00+00:00,0.61132,0.61149,0.60928,0.60928,0.59096,0.59097,11116,2,0
2024-02-28 16:00:00+00:00,0.60929,0.61031,0.60911,0.60951,0.59096,0.59097,10424,0,0
2024-02-28 20:00:00+00:00,0.60952,0.60982,0.60815,0.60905,0.59096,0.59097,10602,0,0
2024-02-29 00:00:00+00:00,0.60905,0.60997,0.60891,0.60975,0.59096,0.59097,4266,2,0
2024-02-29 04:00:00+00:00,0.60967,0.61031,0.60891,0.60968,0.59096,0.59097,6021,3,0
2024-02-29 08:00:00+00:00,0.60969,0.61095,0.60967,0.61023,0.59096,0.59097,7418,0,0
2024-02-29 12:00:00+00:00,0.61023,0.61039,0.60876,0.60889,0.59096,0.59097,11310,4,0
2024-02-29 16:00:00+00:00,0.60889,0.60981,0.60767,0.60946,0.59096,0.59097,12840,3,0
2024-02-29 20:00:00+00:00,0.60945,0.61117,0.60775,0.60809,0.59096,0.59097,14939,6,0
