datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2024-06-20 12:00:00+00:00,0.88383,0.88388,0.88324,0.88333,0.80946,0.80948,762,0,0
2024-06-20 13:00:00+00:00,0.88334,0.88395,0.8832,0.88389,0.80946,0.80948,1528,1,0
2024-06-20 14:00:00+00:00,0.88389,0.88973,0.88339,0.88957,0.80946,0.80948,2677,0,0
2024-06-20 15:00:00+00:00,0.88963,0.89112,0.88908,0.88941,0.80946,0.80948,2548,0,0
2024-06-20 16:00:00+00:00,0.88943,0.89081,0.8893,0.89001,0.80946,0.80948,2178,2,0
2024-06-20 17:00:00+00:00,0.89001,0.89037,0.889,0.88981,0.80946,0.80948,1776,0,0
2024-06-20 18:00:00+00:00,0.88981,0.89087,0.88932,0.89084,0.80946,0.80948,2020,2,0
2024-06-20 19:00:00+00:00,0.89087,0.89189,0.89019,0.89172,0.80946,0.80948,2801,0,0
2024-06-20 20:00:00+00:00,0.89168,0.89258,0.89141,0.89238,0.80946,0.80948,2430,0,0
2024-06-20 21:00:00+00:00,0.89226,0.89242,0.89024,0.8903,0.80946,0.80948,2395,3,0
2024-06-20 22:00:00+00:00,0.89031,0.89138,0.89012,0.89128,0.80946,0.80948,2060,4,0
2024-06-20 23:00:00+00:00,0.89128,0.89146,0.89057,0.89127,0.80946,0.80948,1611,4,0
2024-06-21 00:00:00+00:00,0.89127,0.8913,0.89073,0.89105,0.80946,0.80948,1343,5,0
2024-06-21 01:00:00+00:00,0.89106,0.89119,0.89031,0.89084,0.80946,0.80948,1176,0,0
2024-06-21 02:00:00+00:00,0.89083,0.89146,0.89078,0.89117,0.80946,0.80948,1137,3,0
2024-06-21 03:00:00+00:00,0.89119,0.89135,0.89087,0.891,0.80946,0.80948,505,2,0
2024-06-21 04:00:00+00:00,0.89091,0.89125,0.89041,0.89108,0.80946,0.80948,843,31,0
2024-06-21 05:00:00+00:00,0.8911,0.89185,0.89108,0.89154,0.80946,0.80948,389,5,0
2024-06-21 06:00:00+00:00,0.89154,0.89179,0.89124,0.89149,0.80946,0.80948,442,3,0
2024-06-21 07:00:00+00:00,0.89149,0.89193,0.89135,0.89189,0.80946,0.80948,912,5,0
2024-06-21 08:00:00+00:00,0.89188,0.89202,0.89155,0.89172,0.80946,0.80948,1026,1,0
2024-06-21 09:00:00+00:00,0.89171,0.89183,0.89147,0.89163,0.80946,0.80948,732,5,0
2024-06-21 10:00:00+00:00,0.89163,0.89173,0.89124,0.89131,0.80946,0.80948,737,4,0
2024-06-21 11:00:00+00:00,0.89131,0.89145,0.89108,0.89109,0.80946,0.80948,339,1,0
2024-06-21 12:00:00+00:00,0.89109,0.89112,0.89087,0.891,0.80946,0.80948,624,4,0
2024-06-21 13:00:00+00:00,0.89108,0.89223,0.89107,0.892,0.80946,0.80948,1395,3,0
2024-06-21 14:00:00+00:00,0.89201,0.89256,0.89048,0.89069,0.80946,0.80948,2753,0,0
2024-06-21 15:00:00+00:00,0.89068,0.89205,0.89059,0.89198,0.80946,0.80948,2262,3,0
