symbol,timeframe,total_trades,wins,losses,win_rate,profit_factor,total_pnl_usd,final_balance,avg_win_usd,avg_loss_usd,expectancy_usd,avg_hold_bars,buy_trades,buy_wins,buy_win_rate,sell_trades,sell_wins,sell_win_rate,trades_per_year,max_drawdown_pct,sharpe,exit_tp,exit_sl,exit_sl_be,exit_sl_profit,exit_timeout,exit_opposite
EURUSD,H1,471,263,208,55.84,0.09,-9614.0,386.0,2.11,-48.89,22.77,1.3,227,117,51.54,244,146,59.84,106.6,96.15,-8.58,5,208,161,97,0,0
GBPUSD,H1,437,254,183,58.12,0.14,-9077.4,922.6,4.96,-56.49,26.54,1.5,201,114,56.72,236,140,59.32,99.1,90.81,-8.26,11,183,142,101,0,0
USDJPY,H1,465,285,180,61.29,0.13,-9053.15,946.85,3.46,-55.78,23.71,1.8,303,184,60.73,162,101,62.35,105.8,90.53,-8.3,3,180,174,108,0,0
AUDUSD,H1,500,287,213,57.4,0.05,-9682.33,317.67,0.59,-46.25,20.04,1.3,221,124,56.11,279,163,58.42,113.0,96.82,-8.73,5,213,203,79,0,0
USDCHF,H1,441,239,202,54.2,0.07,-9616.22,383.78,1.7,-49.62,23.65,1.2,207,112,54.11,234,127,54.27,99.6,96.16,-9.05,4,202,131,104,0,0
USDCAD,H1,453,255,198,56.29,0.06,-9549.24,450.76,1.08,-49.62,22.29,1.0,242,131,54.13,211,124,58.77,103.5,95.58,-9.09,3,198,165,87,0,0
NZDUSD,H1,493,259,234,52.54,0.07,-9779.7,220.3,1.4,-43.34,21.31,1.4,210,105,50.0,283,154,54.42,112.0,97.8,-8.7,11,234,176,72,0,0
