symbol,timeframe,total_trades,wins,losses,win_rate,profit_factor,total_pnl_usd,final_balance,avg_win_usd,avg_loss_usd,expectancy_usd,avg_hold_bars,buy_trades,buy_wins,buy_win_rate,sell_trades,sell_wins,sell_win_rate,trades_per_year,max_drawdown_pct,sharpe,exit_tp,exit_sl,exit_sl_be,exit_sl_profit,exit_timeout,exit_opposite
EURUSD,H1,27,9,18,33.33,0.52,-1149.11,8850.89,140.05,-133.87,135.93,3.6,9,3,33.33,18,6,33.33,6.5,16.03,-5.11,9,18,0,0,0,0
GBPUSD,H1,18,7,11,38.89,0.75,-380.01,9619.99,159.77,-136.22,145.37,1.9,9,3,33.33,9,4,44.44,4.8,9.51,-2.25,7,11,0,0,0,0
USDJPY,H1,16,6,10,37.5,0.87,-164.4,9835.6,191.6,-131.4,153.97,2.2,10,4,40.0,6,2,33.33,5.0,4.25,-1.03,6,10,0,0,0,0
AUDUSD,H1,24,6,18,25.0,0.29,-1726.99,8273.01,115.37,-134.4,129.64,2.5,8,2,25.0,16,4,25.0,5.6,18.38,-10.42,6,18,0,0,0,0
USDCHF,H1,10,3,7,30.0,0.27,-747.02,9252.98,90.62,-145.55,129.07,2.6,5,1,20.0,5,2,40.0,2.4,8.52,-10.82,3,7,0,0,0,0
USDCAD,H1,19,5,14,26.32,0.41,-1052.74,8947.26,148.43,-128.2,133.53,3.9,10,5,50.0,9,0,0.0,5.2,11.79,-7.13,5,14,0,0,0,0
NZDUSD,H1,17,5,12,29.41,0.44,-779.48,9220.52,123.42,-116.38,118.45,2.9,5,2,40.0,12,3,25.0,4.4,10.01,-6.41,5,12,0,0,0,0
