symbol,timeframe,total_trades,wins,losses,win_rate,profit_factor,total_pnl_usd,final_balance,avg_win_usd,avg_loss_usd,expectancy_usd,avg_hold_bars,buy_trades,buy_wins,buy_win_rate,sell_trades,sell_wins,sell_win_rate,trades_per_year,max_drawdown_pct,sharpe,exit_tp,exit_sl,exit_sl_be,exit_sl_profit,exit_timeout,exit_opposite
EURUSD,H1,27,17,10,62.96,0.4,-872.36,9127.64,31.79,-141.27,72.34,2.7,9,6,66.67,18,11,61.11,6.5,11.13,-5.38,0,10,7,10,0,0
GBPUSD,H1,18,15,3,83.33,1.34,162.02,10162.02,38.44,-138.2,55.07,0.7,9,8,88.89,9,7,77.78,4.8,3.42,1.53,0,3,4,11,0,0
USDJPY,H1,16,12,4,75.0,0.24,-437.87,9562.13,8.51,-135.01,40.14,0.9,10,9,90.0,6,3,50.0,5.0,4.78,-6.65,0,4,6,6,0,0
AUDUSD,H1,24,15,9,62.5,0.08,-1126.69,8873.31,3.58,-131.16,51.43,1.5,8,5,62.5,16,10,62.5,5.6,11.27,-11.05,0,9,8,7,0,0
USDCHF,H1,10,7,3,70.0,0.25,-365.56,9634.44,14.21,-155.01,56.45,1.7,5,2,40.0,5,5,100.0,2.4,3.66,-7.22,0,3,3,4,0,0
USDCAD,H1,19,13,6,68.42,0.18,-678.24,9321.76,8.65,-131.77,47.53,0.5,10,9,90.0,9,4,44.44,5.2,6.78,-8.34,0,6,7,6,0,0
NZDUSD,H1,17,12,5,70.59,0.11,-600.11,9399.89,-1.91,-115.44,32.6,0.9,5,4,80.0,12,8,66.67,4.4,6.18,-10.27,0,5,5,7,0,0
