trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars
1,EURUSD,BUY,2022-05-20 17:00:00+00:00,1.05592,1.05627,1.0595228571428572,0.44,100,v6_final,2022-05-23 01:00:00+00:00,1.05627,SL_BE,7.247535904753022e-13,-3.079999999996811,3.08,2.0,7
2,EURUSD,SELL,2022-06-14 10:00:00+00:00,1.0466,1.04625,1.0423757142857142,0.38,100,v6_final,2022-06-14 12:00:00+00:00,1.04625,SL_BE,7.247535904753022e-13,-2.659999999997246,2.66,2.0,1
3,EURUSD,BUY,2022-10-28 11:00:00+00:00,0.99427,0.99462,0.9975499999999999,0.49,100,v6_final,2022-10-28 12:00:00+00:00,0.99462,SL_BE,-3.8546943414985435e-13,-3.4300000000018884,3.4299999999999997,2.0,0
4,EURUSD,BUY,2022-12-27 16:00:00+00:00,1.06278,1.0631300000000001,1.0660800000000001,0.48,100,v6_final,2022-12-27 17:00:00+00:00,1.0631300000000001,SL_BE,7.247535904753022e-13,-3.359999999996521,3.36,2.0,0
5,EURUSD,BUY,2023-03-07 12:00:00+00:00,1.06627,1.0666200000000001,1.06855,0.7,100,v6_final,2023-03-07 14:00:00+00:00,1.0666200000000001,SL_BE,7.247535904753022e-13,-4.899999999994926,4.8999999999999995,2.0,1
6,EURUSD,BUY,2023-03-13 18:00:00+00:00,1.07417,1.0704896428571429,1.0790771428571428,0.33,100,v6_final,2023-03-14 04:00:00+00:00,1.0704896428571429,SL,-40.303571428571935,-135.3117857142874,2.31,2.0,9
7,EURUSD,SELL,2023-05-30 15:00:00+00:00,1.07204,1.0695778571428571,1.068757142857143,0.48,100,v6_final,2023-05-31 08:00:00+00:00,1.0695778571428571,SL_PROFIT,21.121428571429682,98.02285714286248,3.36,2.0,16
8,EURUSD,BUY,2023-06-09 13:00:00+00:00,1.07632,1.0773732142857142,1.0777242857142857,1.0,100,v6_final,2023-06-09 14:00:00+00:00,1.0773732142857142,SL_PROFIT,7.032142857142546,63.32142857142546,7.0,2.0,0
9,EURUSD,BUY,2023-07-18 16:00:00+00:00,1.12286,1.12321,1.1265785714285714,0.43,100,v6_final,2023-07-18 18:00:00+00:00,1.12321,SL_BE,7.247535904753022e-13,-3.009999999996883,3.01,2.0,1
10,EURUSD,SELL,2023-07-28 15:00:00+00:00,1.10073,1.1039271428571429,1.0964671428571429,0.38,100,v6_final,2023-07-28 17:00:00+00:00,1.1039271428571429,SL,-35.47142857142899,-137.45142857143014,2.66,2.0,1
11,EURUSD,SELL,2023-08-03 19:00:00+00:00,1.09533,1.0949799999999998,1.0913814285714285,0.4,100,v6_final,2023-08-04 01:00:00+00:00,1.0949799999999998,SL_BE,7.247535904753022e-13,-2.7999999999971013,2.8000000000000003,2.0,5
