timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol
2021-09-27 12:00:00+00:00,0.70006,0.70141,0.699,0.7009,,,,,8273.0,0.0
2021-09-27 16:00:00+00:00,0.7009,0.70201,0.69982,0.70116,,,,,9951.0,0.0
2021-09-27 20:00:00+00:00,0.70114,0.70207,0.70095,0.70146,,,,,4388.0,0.0
2021-09-28 00:00:00+00:00,0.701,0.70187,0.69911,0.7004,,,,,2222.0,0.0
2021-09-28 04:00:00+00:00,0.70041,0.70228,0.69982,0.70227,,,,,4261.0,0.0
2021-09-28 08:00:00+00:00,0.70227,0.70267,0.69738,0.69782,,,,,8584.0,0.0
2021-09-28 12:00:00+00:00,0.69783,0.69784,0.69491,0.69582,,,,,9063.0,0.0
2021-09-28 16:00:00+00:00,0.69579,0.69719,0.69478,0.69495,,,,,14124.0,0.0
2021-09-28 20:00:00+00:00,0.69495,0.69611,0.69426,0.69561,,,,,9777.0,0.0
2021-09-29 00:00:00+00:00,0.69531,0.6963,0.69428,0.69452,,,,,2917.0,0.0
2021-09-29 04:00:00+00:00,0.69452,0.69528,0.69368,0.69496,,,,,5496.0,0.0
2021-09-29 08:00:00+00:00,0.69496,0.69582,0.69352,0.69453,,,,,8546.0,0.0
2021-09-29 12:00:00+00:00,0.69453,0.69487,0.69086,0.69088,,,,,6697.0,0.0
2021-09-29 16:00:00+00:00,0.69088,0.69113,0.68598,0.68633,,,,,10528.0,0.0
2021-09-29 20:00:00+00:00,0.68633,0.68772,0.68591,0.68658,,,,,5115.0,0.0
2021-09-30 00:00:00+00:00,0.68629,0.68769,0.68625,0.68733,,,,,2554.0,0.0
2021-09-30 04:00:00+00:00,0.68732,0.68867,0.68671,0.68776,,,,,4149.0,0.0
2021-09-30 08:00:00+00:00,0.68776,0.68889,0.68679,0.68709,,,,,6587.0,0.0
2021-09-30 12:00:00+00:00,0.68709,0.68828,0.68598,0.6879,,,,,6719.0,0.0
2021-09-30 16:00:00+00:00,0.6879,0.69212,0.68708,0.68867,,,,,13923.0,0.0
2021-09-30 20:00:00+00:00,0.68863,0.6915,0.6886,0.68985,,,,,8276.0,0.0
2021-10-01 00:00:00+00:00,0.68944,0.69081,0.68774,0.6896,,,,,2936.0,0.0
2021-10-01 04:00:00+00:00,0.68964,0.68997,0.68859,0.68919,,,,,4981.0,0.0
2021-10-01 08:00:00+00:00,0.68919,0.68994,0.68763,0.6899,,,,,9824.0,0.0
2021-10-01 12:00:00+00:00,0.6899,0.69278,0.68986,0.69232,,,,,8201.0,0.0
2021-10-01 16:00:00+00:00,0.69232,0.69458,0.69212,0.69416,,,,,12102.0,0.0
2021-10-01 20:00:00+00:00,0.69416,0.69506,0.69375,0.69377,,,,,4250.0,0.0
2021-10-04 00:00:00+00:00,0.69184,0.69521,0.69184,0.69333,,,,,2898.0,0.0
2021-10-04 04:00:00+00:00,0.69334,0.69451,0.69262,0.69436,,,,,8237.0,0.0
2021-10-04 08:00:00+00:00,0.69436,0.69532,0.69311,0.69497,,,,,7948.0,0.0
2021-10-04 12:00:00+00:00,0.69497,0.69777,0.69488,0.69753,,,,,6416.0,0.0
2021-10-04 16:00:00+00:00,0.69753,0.69817,0.69547,0.69634,,,,,10668.0,0.0
2021-10-04 20:00:00+00:00,0.69634,0.69714,0.69592,0.6965,,,,,6824.0,0.0
2021-10-05 00:00:00+00:00,0.69626,0.69678,0.69539,0.69545,,,,,3355.0,0.0
2021-10-05 04:00:00+00:00,0.69545,0.6957,0.69364,0.69414,,,,,5008.0,0.0
2021-10-05 08:00:00+00:00,0.69414,0.69612,0.69274,0.69597,,,,,6875.0,0.0
2021-10-05 12:00:00+00:00,0.69597,0.69732,0.69593,0.69662,,,,,5375.0,0.0
2021-10-05 16:00:00+00:00,0.69663,0.69756,0.69502,0.69667,,,,,8819.0,0.0
2021-10-05 20:00:00+00:00,0.69667,0.6974,0.69554,0.69595,,,,,3684.0,0.0
2021-10-06 00:00:00+00:00,0.69595,0.69644,0.69455,0.69533,,,,,2398.0,0.0
2021-10-06 04:00:00+00:00,0.69533,0.69792,0.69188,0.69245,,,,,6100.0,0.0
2021-10-06 08:00:00+00:00,0.69245,0.69301,0.68832,0.68832,,,,,7601.0,0.0
2021-10-06 12:00:00+00:00,0.68831,0.69152,0.68761,0.69075,,,,,7958.0,0.0
2021-10-06 16:00:00+00:00,0.69074,0.69192,0.68983,0.69019,,,,,10538.0,0.0
2021-10-06 20:00:00+00:00,0.6902,0.69203,0.69,0.69134,,,,,6152.0,0.0
2021-10-07 00:00:00+00:00,0.6913,0.69191,0.6906,0.69178,,,,,3751.0,0.0
2021-10-07 04:00:00+00:00,0.69179,0.6924,0.69124,0.69177,,,,,4439.0,0.0
2021-10-07 08:00:00+00:00,0.69176,0.69349,0.69083,0.69235,,,,,6719.0,0.0
2021-10-07 12:00:00+00:00,0.69235,0.69428,0.69182,0.6926,,,,,6041.0,0.0
2021-10-07 16:00:00+00:00,0.6926,0.69437,0.69096,0.69326,,,,,7653.0,0.0
