timestamp,date,hour,weekday,symbol,timeframe,raw_signal,decision,allowed,passed_checks,total_checks,failed_checks,n_failed_checks,confidence_pre_penalty,confidence_post_penalty,effective_min_confidence,entry_quality_penalty,entry_quality_failed_checks,entry_price,sl,tp,lot,risk_approved,risk_reject_reason,spread,session_regime,signal_source_module_votes,outcome
2026-08-10T11:01:28.200434+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,13,11,Session quality;Confluence quality,2,53.3,32.3,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16859,1.17417,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:01:28.673156+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:01:29.131029+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:01:29.632538+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:01:30.127658+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:01:52.734691+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,13,11,Session quality;Confluence quality,2,53.6,32.6,55.0,21,tp_structure_validation;indecision_candles;exhaustion_filter;rejection_psychology,UNKNOWN,1.16882,1.17368,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:02:15.282205+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,13,11,Session quality;Confluence quality,2,50.4,34.4,55.0,16,sl_swing_anchor;indecision_candles;exhaustion_filter,UNKNOWN,1.16874,1.17342,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:02:37.760131+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,13,11,Session quality;Confluence quality,2,44.6,23.6,55.0,21,sl_swing_anchor;indecision_candles;exhaustion_filter;rejection_psychology,UNKNOWN,1.16883,1.17333,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:03:00.715331+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,41.6,41.6,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:03:21.858688+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,41.6,41.6,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
