datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2024-06-20 12:00:00+00:00,2340.48,2344.92,2339.84,2340.3,4417.45,4417.71,3770,5,0
2024-06-20 13:00:00+00:00,2340.37,2345.67,2340.26,2344.11,4417.45,4417.71,4152,5,0
2024-06-20 14:00:00+00:00,2344.11,2344.91,2338.49,2338.59,4417.45,4417.71,3792,5,0
2024-06-20 15:00:00+00:00,2338.52,2338.67,2332.7,2333.34,4417.45,4417.71,3879,5,0
2024-06-20 16:00:00+00:00,2333.33,2335.77,2331.66,2334.68,4417.45,4417.71,3112,5,0
2024-06-20 17:00:00+00:00,2334.74,2340.67,2333.53,2339.45,4417.45,4417.71,2666,5,0
2024-06-20 18:00:00+00:00,2339.5,2341.4,2337.83,2339.33,4417.45,4417.71,3201,5,0
2024-06-20 19:00:00+00:00,2339.34,2343.58,2335.39,2338.57,4417.45,4417.71,4926,5,0
2024-06-20 20:00:00+00:00,2339.02,2349.37,2336.71,2349.23,4417.45,4417.71,5493,5,0
2024-06-20 21:00:00+00:00,2349.21,2365.03,2348.84,2364.06,4417.45,4417.71,6993,5,0
2024-06-20 22:00:00+00:00,2364.03,2365.46,2351.35,2353.73,4417.45,4417.71,4937,5,0
2024-06-20 23:00:00+00:00,2353.74,2357.13,2352.83,2356.39,4417.45,4417.71,3624,5,0
2024-06-21 00:00:00+00:00,2356.4,2357.54,2354.64,2357.42,4417.45,4417.71,3087,9,0
2024-06-21 01:00:00+00:00,2357.41,2361.06,2357.35,2357.98,4417.45,4417.71,2624,5,0
2024-06-21 02:00:00+00:00,2358.18,2359.84,2357.68,2358.94,4417.45,4417.71,2464,9,0
2024-06-21 03:00:00+00:00,2359.21,2360.16,2358.16,2360.02,4417.45,4417.71,1172,8,0
2024-06-21 05:00:00+00:00,2360.71,2360.94,2358.18,2359.43,4417.45,4417.71,1908,6,0
2024-06-21 06:00:00+00:00,2359.42,2361.12,2358.91,2360.87,4417.45,4417.71,1480,9,0
2024-06-21 07:00:00+00:00,2360.87,2364.86,2360.87,2364.12,4417.45,4417.71,2347,10,0
2024-06-21 08:00:00+00:00,2364.12,2364.16,2357.13,2359.66,4417.45,4417.71,4517,8,0
2024-06-21 09:00:00+00:00,2359.63,2361.65,2358.16,2359.4,4417.45,4417.71,2981,9,0
2024-06-21 10:00:00+00:00,2359.36,2362.18,2358.72,2362.18,4417.45,4417.71,2356,9,0
2024-06-21 11:00:00+00:00,2362.18,2363.02,2361.11,2362.98,4417.45,4417.71,1687,5,0
2024-06-21 12:00:00+00:00,2362.95,2365.58,2362.25,2364.56,4417.45,4417.71,2627,5,0
2024-06-21 13:00:00+00:00,2364.51,2364.51,2357.97,2358.51,4417.45,4417.71,4502,5,0
2024-06-21 14:00:00+00:00,2358.48,2364.44,2355.14,2362.95,4417.45,4417.71,4439,5,0
2024-06-21 15:00:00+00:00,2362.93,2368.13,2362.65,2365.32,4417.45,4417.71,4120,5,0
2024-06-21 16:00:00+00:00,2365.31,2367.3,2362.92,2363.93,4417.45,4417.71,3546,7,0
2024-06-21 17:00:00+00:00,2363.96,2364.17,2361.33,2363.61,4417.45,4417.71,3422,5,0
2024-06-21 18:00:00+00:00,2363.61,2368.73,2363.5,2366.29,4417.45,4417.71,3651,5,0
2024-06-21 19:00:00+00:00,2366.29,2368.06,2360.47,2360.7,4417.45,4417.71,5186,5,0
2024-06-21 20:00:00+00:00,2360.42,2363.79,2334.87,2340.41,4417.45,4417.71,6088,5,0
2024-06-21 21:00:00+00:00,2340.0,2340.45,2328.81,2329.99,4417.45,4417.71,6106,5,0
2024-06-21 22:00:00+00:00,2329.93,2334.76,2323.31,2327.92,4417.45,4417.71,5153,5,0
2024-06-21 23:00:00+00:00,2327.93,2329.33,2323.57,2324.74,4417.45,4417.71,4604,5,0
2024-06-22 00:00:00+00:00,2324.75,2325.12,2316.7,2319.33,4417.45,4417.71,4338,5,0
2024-06-22 01:00:00+00:00,2319.31,2322.82,2316.77,2322.17,4417.45,4417.71,2821,5,0
2024-06-22 02:00:00+00:00,2322.14,2323.36,2320.49,2322.16,4417.45,4417.71,2620,5,0
2024-06-22 03:00:00+00:00,2322.28,2322.65,2320.8,2321.42,4417.45,4417.71,1425,5,0
2024-06-24 05:00:00+00:00,2321.36,2322.93,2318.11,2321.54,4417.45,4417.71,1684,7,0
2024-06-24 06:00:00+00:00,2321.46,2321.46,2317.73,2319.21,4417.45,4417.71,1692,9,0
2024-06-24 07:00:00+00:00,2319.17,2321.75,2317.95,2320.97,4417.45,4417.71,2921,10,0
2024-06-24 08:00:00+00:00,2320.97,2326.31,2319.05,2323.64,4417.45,4417.71,5065,9,0
2024-06-24 09:00:00+00:00,2323.6,2325.2,2319.6,2324.78,4417.45,4417.71,3940,9,0
2024-06-24 10:00:00+00:00,2324.74,2326.68,2324.35,2325.48,4417.45,4417.71,2805,5,0
2024-06-24 11:00:00+00:00,2325.47,2326.62,2324.17,2324.48,4417.45,4417.71,2172,5,0
2024-06-24 12:00:00+00:00,2324.48,2327.14,2323.66,2325.21,4417.45,4417.71,3234,5,0
2024-06-24 13:00:00+00:00,2325.18,2325.33,2321.46,2323.48,4417.45,4417.71,4556,5,0
2024-06-24 14:00:00+00:00,2323.44,2331.77,2321.83,2330.79,4417.45,4417.71,3831,5,0
2024-06-24 15:00:00+00:00,2330.82,2332.8,2329.2,2330.59,4417.45,4417.71,4151,5,0
2024-06-24 16:00:00+00:00,2330.59,2330.98,2320.83,2325.1,4417.45,4417.71,4143,5,0
2024-06-24 17:00:00+00:00,2325.06,2327.12,2324.49,2325.19,4417.45,4417.71,4376,9,0
2024-06-24 18:00:00+00:00,2325.18,2328.08,2324.13,2326.25,4417.45,4417.71,4300,5,0
2024-06-24 19:00:00+00:00,2326.22,2327.83,2323.34,2327.64,4417.45,4417.71,4801,5,0
2024-06-24 20:00:00+00:00,2327.62,2333.8,2325.92,2328.09,4417.45,4417.71,5565,5,0
2024-06-24 21:00:00+00:00,2328.08,2333.68,2326.98,2330.7,4417.45,4417.71,5393,8,0
2024-06-24 22:00:00+00:00,2330.76,2333.14,2327.57,2327.67,4417.45,4417.71,4306,5,0
2024-06-24 23:00:00+00:00,2327.67,2332.24,2326.87,2331.68,4417.45,4417.71,3290,5,0
2024-06-25 00:00:00+00:00,2331.68,2333.2,2330.63,2332.06,4417.45,4417.71,2978,6,0
2024-06-25 01:00:00+00:00,2332.07,2334.68,2332.04,2333.78,4417.45,4417.71,2684,5,0
2024-06-25 02:00:00+00:00,2333.79,2333.79,2330.96,2331.74,4417.45,4417.71,2564,5,0
2024-06-25 03:00:00+00:00,2331.81,2334.44,2331.81,2334.43,4417.45,4417.71,1181,5,0
2024-06-25 05:00:00+00:00,2334.29,2334.6,2331.71,2331.77,4417.45,4417.71,775,6,0
2024-06-25 06:00:00+00:00,2331.79,2331.97,2330.28,2330.87,4417.45,4417.71,1082,5,0
2024-06-25 07:00:00+00:00,2330.9,2330.98,2328.26,2330.07,4417.45,4417.71,2152,5,0
2024-06-25 08:00:00+00:00,2330.07,2330.93,2323.21,2325.88,4417.45,4417.71,4238,5,0
2024-06-25 09:00:00+00:00,2325.89,2327.08,2324.5,2326.52,4417.45,4417.71,3243,7,0
2024-06-25 10:00:00+00:00,2326.48,2328.56,2324.0,2324.12,4417.45,4417.71,2760,9,0
2024-06-25 11:00:00+00:00,2324.13,2327.85,2322.78,2327.47,4417.45,4417.71,2111,5,0
2024-06-25 12:00:00+00:00,2327.47,2330.14,2324.57,2324.98,4417.45,4417.71,2952,5,0
2024-06-25 13:00:00+00:00,2325.05,2328.14,2323.47,2327.37,4417.45,4417.71,3764,5,0
2024-06-25 14:00:00+00:00,2327.28,2327.71,2324.06,2324.76,4417.45,4417.71,3667,7,0
2024-06-25 15:00:00+00:00,2324.7,2330.51,2322.94,2329.68,4417.45,4417.71,3646,5,0
2024-06-25 16:00:00+00:00,2329.47,2334.01,2329.35,2333.11,4417.45,4417.71,2981,5,0
2024-06-25 17:00:00+00:00,2333.11,2337.13,2332.69,2335.33,4417.45,4417.71,3774,5,0
2024-06-25 18:00:00+00:00,2335.34,2335.84,2327.54,2330.13,4417.45,4417.71,3614,5,0
2024-06-25 19:00:00+00:00,2330.12,2330.47,2324.07,2324.17,4417.45,4417.71,4152,5,0
2024-06-25 20:00:00+00:00,2324.13,2327.38,2320.34,2325.73,4417.45,4417.71,5335,5,0
2024-06-25 21:00:00+00:00,2325.89,2328.19,2319.59,2327.16,4417.45,4417.71,5089,5,0
2024-06-25 22:00:00+00:00,2327.25,2327.75,2315.66,2324.7,4417.45,4417.71,4667,5,0
2024-06-25 23:00:00+00:00,2324.87,2325.04,2315.54,2317.84,4417.45,4417.71,3513,5,0
2024-06-26 00:00:00+00:00,2317.79,2320.12,2316.84,2319.17,4417.45,4417.71,3079,6,0
2024-06-26 01:00:00+00:00,2319.25,2319.8,2317.04,2319.29,4417.45,4417.71,2493,6,0
2024-06-26 02:00:00+00:00,2319.25,2320.63,2318.83,2319.87,4417.45,4417.71,2187,5,0
2024-06-26 03:00:00+00:00,2319.74,2319.92,2317.89,2319.51,4417.45,4417.71,1126,5,0
2024-06-26 05:00:00+00:00,2319.35,2321.31,2318.98,2320.72,4417.45,4417.71,1708,5,0
2024-06-26 06:00:00+00:00,2320.73,2321.44,2318.77,2320.01,4417.45,4417.71,1334,8,0
2024-06-26 07:00:00+00:00,2320.0,2323.72,2317.81,2318.43,4417.45,4417.71,2577,10,0
2024-06-26 08:00:00+00:00,2318.37,2320.78,2310.65,2312.92,4417.45,4417.71,4832,5,0
2024-06-26 09:00:00+00:00,2312.89,2321.72,2312.48,2319.48,4417.45,4417.71,3872,5,0
2024-06-26 10:00:00+00:00,2319.47,2321.08,2316.69,2317.21,4417.45,4417.71,2757,5,0
2024-06-26 11:00:00+00:00,2317.27,2317.67,2315.2,2316.82,4417.45,4417.71,1987,8,0
2024-06-26 12:00:00+00:00,2316.82,2318.2,2311.86,2312.09,4417.45,4417.71,3352,5,0
2024-06-26 13:00:00+00:00,2312.05,2317.34,2309.74,2317.18,4417.45,4417.71,4456,5,0
2024-06-26 14:00:00+00:00,2317.16,2317.38,2313.0,2316.09,4417.45,4417.71,3701,9,0
