pattern,month,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Three Outside Up,2018-02,11,4,7,0,0.3636,0.1517,0.6462,-0.2727,-1.0,-0.2727,-0.8182,0.2727,0.5714,-5.0,5,False,False,False,True,
Shooting Star,2018-02,28,16,12,0,0.5714,0.3907,0.7349,0.1429,1.0,0.1429,-0.2143,0.5,1.3333,-3.0,3,False,False,False,True,
Three Outside Down,2018-02,11,4,7,0,0.3636,0.1517,0.6462,-0.2727,-1.0,-0.2727,-0.8182,0.2727,0.5714,-3.0,3,False,False,False,True,
Three Inside Up,2018-02,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,1,False,False,False,True,
Bullish Separating Lines,2018-02,16,9,7,0,0.5625,0.3318,0.769,0.125,1.0,0.125,-0.375,0.625,1.2857,-4.0,3,False,False,False,True,
Bullish Separating Lines,2018-03,16,12,4,0,0.75,0.505,0.8982,0.5,1.0,0.5,0.125,0.875,3.0,-2.0,2,False,False,False,True,
Morning Star,2018-03,21,13,8,0,0.619,0.4088,0.7925,0.2381,1.0,0.2381,-0.2381,0.619,1.625,-2.0,2,False,False,False,True,
Three Outside Up,2018-03,4,2,2,0,0.5,0.15,0.85,-0.0,0.0,-0.0,,,1.0,-1.0,2,False,False,False,True,
Three Inside Up,2018-03,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-2.0,2,False,False,False,True,
Bullish Harami,2018-03,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-1.0,2,False,False,False,True,
Three Outside Down,2018-03,6,4,2,0,0.6667,0.3,0.9032,0.3333,1.0,0.3333,,,2.0,-1.0,1,False,False,False,True,
Three Inside Down,2018-04,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Bearish Separating Lines,2018-04,18,8,10,0,0.4444,0.2456,0.6628,-0.1111,-1.0,-0.1111,-0.5556,0.3333,0.8,-5.0,4,False,False,False,True,
Morning Star,2018-04,27,11,16,0,0.4074,0.2451,0.5927,-0.1852,-1.0,-0.1852,-0.5556,0.1852,0.6875,-8.0,8,False,False,False,True,
Three Outside Up,2018-04,14,10,4,0,0.7143,0.4535,0.8828,0.4286,1.0,0.4286,-0.1429,0.8571,2.5,-1.0,1,False,False,False,True,
Evening Star,2018-04,27,18,9,0,0.6667,0.4782,0.8136,0.3333,1.0,0.3333,-0.037,0.7037,2.0,-3.0,3,False,False,False,True,
Upside Gap Two Crows,2018-04,6,3,3,0,0.5,0.1876,0.8124,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Bullish Separating Lines,2018-04,17,8,9,0,0.4706,0.2616,0.6904,-0.0588,-1.0,-0.0588,-0.5294,0.4118,0.8889,-2.0,3,False,False,False,True,
Upside Gap Two Crows,2018-05,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Three Outside Up,2018-05,14,10,4,0,0.7143,0.4535,0.8828,0.4286,1.0,0.4286,-0.0,0.8571,2.5,-2.0,2,False,False,False,True,
Morning Star,2018-05,27,14,13,0,0.5185,0.3399,0.6926,0.037,1.0,0.037,-0.3333,0.4074,1.0769,-4.0,3,False,False,False,True,
Bullish Separating Lines,2018-05,20,11,9,0,0.55,0.3421,0.7418,0.1,1.0,0.1,-0.3,0.5,1.2222,-3.0,3,False,False,False,True,
Three Outside Down,2018-05,14,8,6,0,0.5714,0.3259,0.7862,0.1429,1.0,0.1429,-0.4286,0.5714,1.3333,-2.0,2,False,False,False,True,
Bearish Harami,2018-05,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-2.0,3,False,False,False,True,
Bearish Separating Lines,2018-05,15,7,8,0,0.4667,0.2481,0.6988,-0.0667,-1.0,-0.0667,-0.6,0.4667,0.875,-6.0,4,False,False,False,True,
Three Inside Down,2018-05,8,3,5,0,0.375,0.1368,0.6943,-0.25,-1.0,-0.25,,,0.6,-3.0,2,False,False,False,True,
Three Inside Up,2018-06,7,4,3,0,0.5714,0.2505,0.8418,0.1429,1.0,0.1429,,,1.3333,-3.0,3,False,False,False,True,
Three Outside Down,2018-06,9,7,2,0,0.7778,0.4526,0.9368,0.5556,1.0,0.5556,,,3.5,-1.0,1,False,False,False,True,
Morning Star,2018-06,26,13,13,0,0.5,0.3206,0.6794,-0.0,0.0,-0.0,-0.3846,0.3846,1.0,-6.0,6,False,False,False,True,
Bullish Separating Lines,2018-06,24,12,12,0,0.5,0.3143,0.6857,-0.0,0.0,-0.0,-0.4167,0.4167,1.0,-4.0,4,False,False,False,True,
Bullish Harami,2018-06,9,3,6,0,0.3333,0.1206,0.6458,-0.3333,-1.0,-0.3333,,,0.5,-4.0,4,False,False,False,True,
Upside Gap Two Crows,2018-06,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Shooting Star,2018-06,29,16,13,0,0.5517,0.3755,0.7159,0.1034,1.0,0.1034,-0.2414,0.4483,1.2308,-4.0,2,False,False,False,True,
Three Outside Up,2018-06,18,9,9,0,0.5,0.2903,0.7097,0.0,-0.0,0.0,-0.4444,0.4444,1.0,-4.0,2,False,False,False,True,
Bearish Separating Lines,2018-06,14,9,5,0,0.6429,0.3876,0.8366,0.2857,1.0,0.2857,-0.1429,0.7143,1.8,-3.0,3,False,False,False,True,
Piercing Line,2018-07,21,13,8,0,0.619,0.4088,0.7925,0.2381,1.0,0.2381,-0.2381,0.619,1.625,-2.0,2,False,False,False,True,
Shooting Star,2018-07,29,12,17,0,0.4138,0.2551,0.5926,-0.1724,-1.0,-0.1724,-0.5172,0.1724,0.7059,-7.0,4,False,False,False,True,
Hammer,2018-07,26,15,11,0,0.5769,0.3895,0.7446,0.1538,1.0,0.1538,-0.2308,0.5385,1.3636,-5.0,4,False,False,False,True,
Bearish Separating Lines,2018-07,11,6,5,0,0.5455,0.2801,0.7873,0.0909,1.0,0.0909,-0.4545,0.6364,1.2,-2.0,2,False,False,False,True,
Three Inside Up,2018-07,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-1.0,1,False,False,False,True,
Bullish Separating Lines,2018-07,11,7,4,0,0.6364,0.3538,0.8483,0.2727,1.0,0.2727,-0.2727,0.8182,1.75,-2.0,2,False,False,False,True,
Three Outside Down,2018-07,8,3,5,0,0.375,0.1368,0.6943,-0.25,-1.0,-0.25,,,0.6,-2.0,2,False,False,False,True,
Bullish Harami,2018-07,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-2.0,2,False,False,False,True,
Three Outside Up,2018-07,12,6,6,0,0.5,0.2538,0.7462,0.0,-0.0,0.0,-0.5,0.5,1.0,-4.0,5,False,False,False,True,
Upside Gap Two Crows,2018-07,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-3.0,3,False,False,False,True,
Three Inside Down,2018-07,5,4,1,0,0.8,0.3755,0.9638,0.6,1.0,0.6,,,4.0,0.0,1,False,False,False,True,
Dark Cloud Cover,2018-08,10,4,6,0,0.4,0.1682,0.6873,-0.2,-1.0,-0.2,-0.8,0.4,0.6667,-3.0,4,False,False,False,True,
Bearish Separating Lines,2018-08,5,0,5,0,0.0,-0.0,0.4345,-1.0,-1.0,-1.0,,,0.0,-4.0,5,False,False,False,True,
Bearish Engulfing,2018-08,26,11,15,0,0.4231,0.2554,0.6105,-0.1538,-1.0,-0.1538,-0.5385,0.2308,0.7333,-8.0,5,False,False,False,True,
Bearish Counterattack,2018-08,14,5,9,0,0.3571,0.1634,0.6124,-0.2857,-1.0,-0.2857,-0.7143,0.2857,0.5556,-4.0,3,False,False,False,True,
Bullish Counterattack,2018-08,12,6,6,0,0.5,0.2538,0.7462,-0.0,-0.0,-0.0,-0.5,0.5,1.0,-4.0,3,False,False,False,True,
Bearish Harami,2018-08,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Tweezer Bottom,2018-08,15,6,9,0,0.4,0.1982,0.6425,-0.2,-1.0,-0.2,-0.7333,0.3333,0.6667,-4.0,3,False,False,False,True,
Three Inside Down,2018-08,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Three Black Crows,2018-08,27,15,12,0,0.5556,0.3731,0.7241,0.1111,1.0,0.1111,-0.2593,0.4815,1.25,-4.0,3,False,False,False,True,
Morning Doji Star,2018-08,13,6,7,0,0.4615,0.2321,0.7086,-0.0769,-1.0,-0.0769,-0.5385,0.3846,0.8571,-6.0,4,False,False,False,True,
Morning Star,2018-08,8,5,3,0,0.625,0.3057,0.8632,0.25,1.0,0.25,,,1.6667,-1.0,1,False,False,False,True,
Evening Doji Star,2018-08,12,6,6,0,0.5,0.2538,0.7462,-0.0,-0.0,-0.0,-0.5,0.5,1.0,-2.0,2,False,False,False,True,
Bullish Separating Lines,2018-08,6,3,3,0,0.5,0.1876,0.8124,0.0,-0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Bullish Engulfing,2018-08,22,9,13,0,0.4091,0.2326,0.6127,-0.1818,-1.0,-0.1818,-0.6364,0.2727,0.6923,-8.0,8,False,False,False,True,
Tweezer Top,2018-08,18,12,6,0,0.6667,0.4375,0.8372,0.3333,1.0,0.3333,-0.1111,0.7778,2.0,-2.0,2,False,False,False,True,
Inverted Hammer,2018-08,7,4,3,0,0.5714,0.2505,0.8418,0.1429,1.0,0.1429,,,1.3333,-3.0,3,False,False,False,True,
Hanging Man,2018-08,10,6,4,0,0.6,0.3127,0.8318,0.2,1.0,0.2,-0.4,0.8,1.5,-2.0,2,False,False,False,True,
Hammer,2018-08,11,7,4,0,0.6364,0.3538,0.8483,0.2727,1.0,0.2727,-0.2727,0.8182,1.75,-1.0,1,False,False,False,True,
Three White Soldiers,2018-08,29,14,15,0,0.4828,0.3139,0.6557,-0.0345,-1.0,-0.0345,-0.3793,0.3103,0.9333,-4.0,3,False,False,False,True,
Bullish Harami,2018-08,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Inside Up,2018-08,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,0.0,1,False,False,False,True,
Evening Star,2018-08,8,5,3,0,0.625,0.3057,0.8632,0.25,1.0,0.25,,,1.6667,-1.0,1,False,False,False,True,
Dark Cloud Cover,2018-09,11,8,3,0,0.7273,0.4343,0.9025,0.4545,1.0,0.4545,-0.0909,1.0,2.6667,-1.0,1,False,False,False,True,
Tweezer Bottom,2018-09,15,6,9,0,0.4,0.1982,0.6425,-0.2,-1.0,-0.2,-0.7333,0.3333,0.6667,-5.0,3,False,False,False,True,
Piercing Line,2018-09,10,3,7,0,0.3,0.1078,0.6032,-0.4,-1.0,-0.4,-1.0,0.2,0.4286,-4.0,3,False,False,False,True,
Bearish Counterattack,2018-09,10,2,8,0,0.2,0.0567,0.5098,-0.6,-1.0,-0.6,-1.0,-0.0,0.25,-6.0,7,False,False,False,True,
Bullish Engulfing,2018-09,24,14,10,0,0.5833,0.3883,0.7553,0.1667,1.0,0.1667,-0.1667,0.5,1.4,-3.0,3,False,False,False,True,
Evening Doji Star,2018-09,15,11,4,0,0.7333,0.4805,0.891,0.4667,1.0,0.4667,0.0667,0.8667,2.75,-2.0,2,False,False,False,True,
Bullish Counterattack,2018-09,15,6,9,0,0.4,0.1982,0.6425,-0.2,-1.0,-0.2,-0.7333,0.3333,0.6667,-7.0,5,False,False,False,True,
Tweezer Top,2018-09,20,10,10,0,0.5,0.2993,0.7007,0.0,-0.0,0.0,-0.4,0.4,1.0,-5.0,4,False,False,False,True,
Bearish Engulfing,2018-09,22,11,11,0,0.5,0.3072,0.6928,-0.0,-0.0,-0.0,-0.4545,0.3636,1.0,-5.0,5,False,False,False,True,
Three Black Crows,2018-09,23,14,9,0,0.6087,0.4079,0.7784,0.2174,1.0,0.2174,-0.1326,0.5674,1.5556,-2.0,2,False,False,False,True,
Morning Doji Star,2018-09,11,6,5,0,0.5455,0.2801,0.7873,0.0909,1.0,0.0909,-0.4545,0.6364,1.2,-2.0,2,False,False,False,True,
Hammer,2018-09,8,3,5,0,0.375,0.1368,0.6943,-0.25,-1.0,-0.25,,,0.6,-2.0,2,False,False,False,True,
Evening Star,2018-09,8,2,6,0,0.25,0.0715,0.5907,-0.5,-1.0,-0.5,,,0.3333,-5.0,6,False,False,False,True,
Shooting Star,2018-09,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-2.0,2,False,False,False,True,
Bullish Separating Lines,2018-09,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Morning Star,2018-09,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-1.0,2,False,False,False,True,
Piercing Line,2018-10,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-2.0,2,False,False,False,True,
Evening Doji Star,2018-10,16,10,6,0,0.625,0.3864,0.8152,0.25,1.0,0.25,-0.25,0.75,1.6667,-2.0,2,False,False,False,True,
Tweezer Bottom,2018-10,20,13,7,0,0.65,0.4329,0.8188,0.3,1.0,0.3,-0.1,0.7,1.8571,-3.0,3,False,False,False,True,
Shooting Star,2018-10,6,3,3,0,0.5,0.1876,0.8124,0.0,-0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Evening Star,2018-10,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-1.0,1,False,False,False,True,
Bullish Engulfing,2018-10,22,12,10,0,0.5455,0.3466,0.7308,0.0909,1.0,0.0909,-0.2727,0.5455,1.2,-4.0,4,False,False,False,True,
Three Inside Up,2018-10,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Inverted Hammer,2018-10,9,6,3,0,0.6667,0.3542,0.8794,0.3333,1.0,0.3333,,,2.0,-2.0,2,False,False,False,True,
Three Outside Up,2018-10,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Dark Cloud Cover,2018-10,14,7,7,0,0.5,0.268,0.732,-0.0,-0.0,-0.0,-0.5714,0.4286,1.0,-3.0,3,False,False,False,True,
Morning Star,2018-10,4,2,2,0,0.5,0.15,0.85,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Morning Doji Star,2018-10,15,8,7,0,0.5333,0.3012,0.7519,0.0667,1.0,0.0667,-0.4667,0.6,1.1429,-4.0,4,False,False,False,True,
Tweezer Top,2018-10,11,3,8,0,0.2727,0.0975,0.5657,-0.4545,-1.0,-0.4545,-1.0,0.0909,0.375,-7.0,7,False,False,False,True,
Bullish Counterattack,2018-10,13,6,7,0,0.4615,0.2321,0.7086,-0.0769,-1.0,-0.0769,-0.5385,0.3846,0.8571,-6.0,6,False,False,False,True,
Evening Doji Star,2018-11,17,7,10,0,0.4118,0.2161,0.6399,-0.1765,-1.0,-0.1765,-0.6471,0.2941,0.7,-6.0,3,False,False,False,True,
Morning Doji Star,2018-11,14,6,8,0,0.4286,0.2138,0.6741,-0.1429,-1.0,-0.1429,-0.7143,0.4286,0.75,-2.0,2,False,False,False,True,
Tweezer Bottom,2018-11,18,8,10,0,0.4444,0.2456,0.6628,-0.1111,-1.0,-0.1111,-0.5556,0.3333,0.8,-4.0,4,False,False,False,True,
Bearish Engulfing,2018-11,18,11,7,0,0.6111,0.3862,0.797,0.2222,1.0,0.2222,-0.2222,0.6667,1.5714,-5.0,5,False,False,False,True,
Bullish Separating Lines,2018-11,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Inverted Hammer,2018-11,13,6,7,0,0.4615,0.2321,0.7086,-0.0769,-1.0,-0.0769,-0.5385,0.3885,0.8571,-2.0,2,False,False,False,True,
Bearish Separating Lines,2018-11,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-1.0,2,False,False,False,True,
Bullish Counterattack,2018-11,17,12,5,0,0.7059,0.4687,0.8672,0.4118,1.0,0.4118,-0.0588,0.7647,2.4,-2.0,2,False,False,False,True,
Hammer,2018-11,7,1,6,0,0.1429,0.0257,0.5131,-0.7143,-1.0,-0.7143,,,0.1667,-6.0,6,False,False,False,True,
Morning Star,2018-11,8,7,1,0,0.875,0.5291,0.9776,0.75,1.0,0.75,,,7.0,-1.0,1,False,False,False,True,
Tweezer Top,2018-11,17,8,9,0,0.4706,0.2616,0.6904,-0.0588,-1.0,-0.0588,-0.5294,0.4118,0.8889,-3.0,3,False,False,False,True,
Three White Soldiers,2018-11,22,10,12,0,0.4545,0.2692,0.6534,-0.0909,-1.0,-0.0909,-0.5455,0.2727,0.8333,-6.0,7,False,False,False,True,
Three Black Crows,2018-11,24,10,14,0,0.4167,0.2447,0.6117,-0.1667,-1.0,-0.1667,-0.5833,0.25,0.7143,-7.0,4,False,False,False,True,
Bullish Engulfing,2018-11,21,13,8,0,0.619,0.4088,0.7925,0.2381,1.0,0.2381,-0.1429,0.619,1.625,-4.0,3,False,False,False,True,
Piercing Line,2018-11,20,12,8,0,0.6,0.3866,0.7812,0.2,1.0,0.2,-0.2,0.6,1.5,-2.0,2,False,False,False,True,
Shooting Star,2018-11,12,8,4,0,0.6667,0.3906,0.8619,0.3333,1.0,0.3333,-0.1667,0.8333,2.0,-2.0,2,False,False,False,True,
Bearish Counterattack,2018-11,7,4,3,0,0.5714,0.2505,0.8418,0.1429,1.0,0.1429,,,1.3333,-2.0,2,False,False,False,True,
Bearish Harami,2018-07,4,2,2,0,0.5,0.15,0.85,0.0,0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Piercing Line,2018-08,12,9,3,0,0.75,0.4677,0.9111,0.5,1.0,0.5,-0.0,1.0,3.0,-3.0,3,False,False,False,True,
Inverted Hammer,2018-09,8,3,5,0,0.375,0.1368,0.6943,-0.25,-1.0,-0.25,,,0.6,-3.0,3,False,False,False,True,
Three Outside Up,2018-09,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-3.0,3,False,False,False,True,
Hanging Man,2018-10,7,5,2,0,0.7143,0.3589,0.9178,0.4286,1.0,0.4286,,,2.5,-1.0,1,False,False,False,True,
Bearish Engulfing,2018-10,18,8,10,0,0.4444,0.2456,0.6628,-0.1111,-1.0,-0.1111,-0.5556,0.3333,0.8,-4.0,4,False,False,False,True,
Three Outside Down,2018-11,3,3,0,0,1.0,0.4385,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Evening Doji Star,2018-12,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bullish Kicker,2018-12,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-3.0,3,False,False,False,True,
Bullish Separating Lines,2018-12,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Shooting Star,2018-12,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Hanging Man,2018-12,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three White Soldiers,2018-12,7,2,5,0,0.2857,0.0822,0.6411,-0.4286,-1.0,-0.4286,,,0.4,-3.0,2,False,False,False,True,
Morning Star,2018-12,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-1.0,1,False,False,False,True,
Tweezer Bottom,2018-12,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Evening Star,2018-12,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Bearish Kicker,2018-12,11,5,6,0,0.4545,0.2127,0.7199,-0.0909,-1.0,-0.0909,-0.6364,0.4545,0.8333,-3.0,3,False,False,False,True,
Bearish Counterattack,2019-01,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-2.0,2,False,False,False,True,
Bullish Kicker,2019-01,14,9,5,0,0.6429,0.3876,0.8366,0.2857,1.0,0.2857,-0.2857,0.7143,1.8,-2.0,2,False,False,False,True,
Dark Cloud Cover,2019-01,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Three Outside Down,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bullish Engulfing,2019-01,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Evening Star,2019-01,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Bearish Kicker,2019-01,8,4,4,0,0.5,0.2152,0.7848,0.0,0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Evening Doji Star,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three Black Crows,2019-01,7,2,5,0,0.2857,0.0822,0.6411,-0.4286,-1.0,-0.4286,,,0.4,-3.0,4,False,False,False,True,
Tweezer Bottom,2019-02,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Piercing Line,2019-02,4,2,2,0,0.5,0.15,0.85,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Bearish Kicker,2019-02,8,4,4,0,0.5,0.2152,0.7848,-0.0,-0.0,-0.0,,,1.0,-3.0,3,False,False,False,True,
Morning Star,2019-02,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Bullish Kicker,2019-02,7,2,5,0,0.2857,0.0822,0.6411,-0.4286,-1.0,-0.4286,,,0.4,-4.0,4,False,False,False,True,
Three White Soldiers,2019-02,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-2.0,2,False,False,False,True,
Bearish Engulfing,2019-02,3,0,3,0,0.0,0.0,0.5615,-1.0,-1.0,-1.0,,,0.0,-2.0,3,False,False,False,True,
Three White Soldiers,2019-03,12,5,7,0,0.4167,0.1933,0.6805,-0.1667,-1.0,-0.1667,-0.6667,0.3333,0.7143,-3.0,2,False,False,False,True,
Bearish Kicker,2019-03,9,2,7,0,0.2222,0.0632,0.5474,-0.5556,-1.0,-0.5556,,,0.2857,-4.0,3,False,False,False,True,
Tweezer Bottom,2019-03,6,3,3,0,0.5,0.1876,0.8124,-0.0,-0.0,-0.0,,,1.0,-2.0,2,False,False,False,True,
Piercing Line,2019-03,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Evening Star,2019-03,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Shooting Star,2019-03,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,0.0,1,False,False,False,True,
Bullish Kicker,2019-03,12,8,4,0,0.6667,0.3906,0.8619,0.3333,1.0,0.3333,-0.1667,0.8333,2.0,-3.0,3,False,False,False,True,
Evening Doji Star,2019-03,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Bullish Engulfing,2019-03,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-1.0,2,False,False,False,True,
Morning Doji Star,2019-03,5,4,1,0,0.8,0.3755,0.9638,0.6,1.0,0.6,,,4.0,0.0,1,False,False,False,True,
Hammer,2019-03,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Bearish Engulfing,2019-03,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,1,False,False,False,True,
Hanging Man,2019-04,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Piercing Line,2019-04,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bullish Kicker,2019-04,7,4,3,0,0.5714,0.2505,0.8418,0.1429,1.0,0.1429,,,1.3333,-2.0,3,False,False,False,True,
Bearish Engulfing,2019-04,4,2,2,0,0.5,0.15,0.85,0.0,0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Bearish Kicker,2019-04,10,5,5,0,0.5,0.2366,0.7634,0.0,0.0,0.0,-0.6,0.6,1.0,-1.0,1,False,False,False,True,
Bullish Engulfing,2019-04,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-2.0,3,False,False,False,True,
Three Outside Down,2019-04,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three White Soldiers,2019-05,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Shooting Star,2019-05,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bullish Engulfing,2019-05,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bearish Counterattack,2019-05,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Evening Doji Star,2019-05,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Hammer,2019-05,2,0,1,1,0.0,0.0,0.6576,-0.2497,-0.2497,-0.2497,,,0.5005,-1.0,1,False,False,False,True,
Bearish Separating Lines,2018-02,10,6,4,0,0.6,0.3127,0.8318,0.2,1.0,0.2,-0.4,0.8,1.5,-2.0,2,False,False,False,True,
Three Outside Down,2018-04,7,2,5,0,0.2857,0.0822,0.6411,-0.4286,-1.0,-0.4286,,,0.4,-3.0,2,False,False,False,True,
Three Inside Up,2018-05,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,2,False,False,False,True,
Three Inside Down,2018-06,6,3,3,0,0.5,0.1876,0.8124,0.0,-0.0,0.0,,,1.0,-3.0,3,False,False,False,True,
Three Inside Down,2018-02,4,4,0,0,1.0,0.5101,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bearish Separating Lines,2018-03,11,8,3,0,0.7273,0.4343,0.9025,0.4545,1.0,0.4545,-0.0909,1.0,2.6667,-2.0,2,False,False,False,True,
Bearish Harami,2018-04,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Shooting Star,2018-08,11,4,7,0,0.3636,0.1517,0.6462,-0.2727,-1.0,-0.2727,-0.8182,0.2727,0.5714,-4.0,4,False,False,False,True,
